t1A	t1B	t1C	t2A	t2B	t2C	t3A	t3B	t3C	t4A	t4B	t4C	t5A	t5B	t5C	t6A	t6B	t6C	t7A	t7B	t7C	t8A	t8B	t8C	Unique_peptides
Ga0196617_10001582	8.7396E+07	7.1295E+07	8.3564E+07	3.1765E+07	7.3956E+07	6.5542E+07	5.6572E+07	4.909E+07	6.8385E+07	7.4048E+07	7.8171E+07	6.8847E+07	1.1299E+08	8.1337E+07	9.0798E+07	1.377E+08	1.0774E+08	1.2015E+08	2.1737E+08	1.9158E+08	9.5349E+07	1.7134E+08	1.4782E+08	1.8628E+08	26
Ga0196617_10001583	1.7404E+07	3.1165E+07	4.9377E+07	2351500	5225900	4450000	1272800	1356800	3416500	1313300	4478000	936280	7197600	2137900	4811300	6382200	2102900	3251900	4347200	1462500	3124000	5650700	3561700	2385000	20
Ga0196617_10001584	6514300	1.5875E+07	1.7071E+07	5542300	1.0489E+07	4699700	3044900	3136500	4560800	5311200	6978200	5636000	5276700	1.0442E+07	3331600	1.1918E+07	1.0562E+07	8209100	9051500	1.834E+07	3781900	7210800	7147000	1.664E+07	27
Ga0196617_10001585	2.1181E+07	8.2725E+07	7.7849E+07	4.2103E+07	3.2038E+07	3.8034E+07	2.005E+07	1.8265E+07	2.177E+07	1.4238E+07	1.1673E+07	1.6833E+07	1.7003E+07	2.3149E+07	1.9052E+07	2.6631E+07	3.3084E+07	2.4577E+07	3.6221E+07	7.0271E+07	7379400	1.6684E+07	5.554E+07	4.4467E+07	45
Ga0196617_10001587	1223300	1270500	4297000	1670200	1640300	2123700	1789100	1122900	757620	945240	902120	1087300	0	1669400	1340500	1147300	0	0	900920	1578500	1837400	1419800	0	0	6
Ga0196617_10001588	1597300	2607500	2138300	2060400	2005200	1988900	0	4847000	2125800	804860	1651000	1493600	6273700	4094400	3604400	2075800	2323000	0	1321300	0	2442500	5163300	2614900	2258400	4
Ga0196617_10001589	4.9567E+08	7.9218E+08	1.0279E+09	2.5252E+08	3.9525E+08	3.0692E+08	2.9038E+08	2.5789E+08	1.9002E+08	3.4552E+08	3.1246E+08	4.3048E+08	3.253E+08	2.8955E+08	1.3754E+08	6.962E+08	4.7602E+08	3.177E+08	2.3695E+08	3.1595E+08	1.0485E+09	2.202E+08	1.8276E+08	2.4647E+08	41
Ga0196617_1000159	5.6034E+07	4.393E+07	2.2422E+07	2.9267E+07	3.6501E+07	2.9833E+07	1.3488E+07	9732800	8485100	4219200	9638600	1.4875E+07	8420400	1.8749E+07	6771200	2.2219E+07	1.4455E+07	1.3172E+07	7903300	1.3444E+07	1.3745E+07	1.1817E+07	1.0576E+07	1.5661E+07	9
Ga0196617_10001590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	565340	0	0	0	2
Ga0196617_10001596	2.0863E+08	3.8473E+08	3.8427E+08	3.3145E+08	2.8707E+08	4.4927E+08	4.0096E+08	3.9935E+08	4.4488E+08	3.4351E+08	4.8086E+08	6.006E+08	7.126E+08	5.5652E+08	3.7795E+08	1.3632E+09	8.1791E+08	6.8985E+08	1.0645E+09	1.0581E+09	1.6678E+09	1.4891E+09	1.5483E+09	1.402E+09	109
Ga0196617_10001610	1375400	2106000	2617300	0	1.9695E+07	2003800	1.225E+07	1.9168E+07	3354500	1.4402E+07	2565600	4500000	1.1912E+07	1.7634E+07	4320000	3317500	4657800	4531300	4365500	2021100	3452200	5231300	4031500	4506700	11
Ga0196617_100016100	3.3247E+07	1.9464E+07	1.5697E+07	3.1458E+07	2.5352E+07	3.2189E+07	4.069E+07	4.7736E+07	3.6804E+07	5.7182E+07	6.1184E+07	7.1682E+07	6.0432E+07	4.492E+07	3.8545E+07	5.4027E+07	6.0527E+07	5.4095E+07	3.5905E+07	5.6385E+07	7.8109E+07	3.5953E+07	4.2214E+07	4.559E+07	28
Ga0196617_100016101	5442500	5700300	6047100	3585600	8139400	5589000	7561600	7995600	5223800	1.1858E+07	8392900	7922000	7544100	5035600	3462800	1.0127E+07	9579900	5629200	1.154E+07	1.176E+07	1.3827E+07	8354100	9870400	8207700	12
Ga0196617_100016102;Ga0196617_1065331	4.072E+07	3.428E+07	2.0833E+07	6.5034E+07	5.2328E+07	4.9798E+07	7.481E+07	5.516E+07	5.5792E+07	6.5036E+07	1.1489E+08	9.4353E+07	7.3389E+07	6.35E+07	6.8982E+07	8.5024E+07	6.9937E+07	7.819E+07	7.4079E+07	6.8318E+07	1.0818E+08	8.5608E+07	6.2062E+07	6.8511E+07	29
Ga0196617_100016103	2828400	0	4441800	2498200	3242700	2918500	4703800	3282700	4460900	7028700	1846000	4307000	5164400	5653000	4245200	8176500	3785400	2383000	7668800	6233300	1.2484E+07	1.1626E+07	6328100	5895200	6
Ga0196617_100016105	2.4323E+07	1.1922E+08	8.852E+07	1.2984E+08	2.2297E+08	9.8492E+07	2.8E+08	3.5896E+08	2.0227E+08	2.854E+08	1.9641E+08	1.0072E+08	3.5935E+08	3.3118E+08	1.826E+08	2.0363E+08	1.0569E+08	2.39E+08	3.3813E+08	2.7051E+08	4.6189E+08	4.2702E+08	5.4279E+08	3.2736E+08	93
Ga0196617_100016106	1.7316E+07	5.6519E+07	6.6078E+07	9.904E+07	1.6615E+08	8.4624E+07	1.884E+08	2.4995E+08	1.7623E+08	1.9607E+08	1.3186E+08	8.4213E+07	2.119E+08	1.9085E+08	1.1535E+08	1.4512E+08	1.0559E+08	1.7515E+08	1.9571E+08	2.3092E+08	1.9786E+08	2.5602E+08	2.4981E+08	1.9042E+08	78
Ga0196617_100016109	2.4577E+07	1.6254E+07	1.2563E+07	2.6012E+07	2.7968E+07	1.2227E+07	2.5574E+07	1.9695E+07	2.2893E+07	2.9215E+07	1.7276E+07	3.2954E+07	2.9891E+07	2.703E+07	2.519E+07	3.142E+07	3.7631E+07	3.3421E+07	4.0114E+07	5.2879E+07	5.5969E+07	4.0048E+07	3.9071E+07	4.3694E+07	16
Ga0196617_100016113	9.719E+07	5.0548E+07	4.3677E+07	1.403E+08	1.3224E+08	9.6667E+07	1.5042E+08	1.3785E+08	8.3343E+07	1.026E+08	1.2782E+08	1.3072E+08	2.5458E+07	2.8885E+07	2.1734E+07	1.0729E+07	2.2957E+07	2.4548E+07	1.1132E+07	1.4938E+07	4026700	1.6369E+07	1.3687E+07	3.0716E+07	18
Ga0196617_100016114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3707700	0	0	4320900	0	0	0	0	0	5
Ga0196617_100016115	1.8542E+07	1.6375E+07	8360100	6558700	8563800	6803600	1.5549E+07	1.5204E+07	1.4264E+07	1.756E+07	2.0139E+07	2.2866E+07	2.5416E+07	1.06E+07	1.5712E+07	2.1213E+07	2.4949E+07	1.8878E+07	3.7058E+07	1.7936E+07	3.5366E+07	2.9547E+07	2.37E+07	2.6111E+07	14
Ga0196617_100016116	0	0	0	0	0	0	0	0	0	0	2582500	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Ga0196617_100016119	1.0771E+08	3.8836E+07	2.5126E+07	1.0322E+08	7.1235E+07	7.6223E+07	7.1057E+07	7.2429E+07	1.235E+08	1.213E+08	1.412E+08	1.5054E+08	2.2372E+08	1.3768E+08	1.8658E+08	1.3874E+08	2.212E+08	2.5546E+08	2.0603E+08	4.061E+08	2.3895E+08	1.9154E+08	3.047E+08	2.0426E+08	15
Ga0196617_10001612	0	665300	0	0	833070	0	580500	0	769390	623480	596920	551480	0	0	0	0	0	0	0	0	0	0	0	0	2
Ga0196617_100016120	8682700	1744500	1354900	2.0301E+07	4961300	6341000	5757500	5430900	5534600	1397100	7184300	3297900	1505300	2202500	2425000	1768400	5527900	1335800	0	645610	1578500	2454700	2551700	1586300	15
Ga0196617_100016121	2.9644E+07	1.5597E+07	7958000	4.2588E+07	2.6871E+07	3.1203E+07	3.1149E+07	5.3355E+07	5.3804E+07	4.6623E+07	4.5276E+07	4.3453E+07	4.494E+07	4.0254E+07	6.4078E+07	1.3416E+07	1.7929E+07	2.0524E+07	1.3733E+07	1.3515E+07	2693900	4010400	6782100	2785900	22
Ga0196617_100016122	8.7884E+08	6.3622E+08	5.2575E+08	1.062E+09	1.4367E+09	1.4617E+09	1.1806E+09	1.5498E+09	1.4562E+09	1.5597E+09	8.7051E+08	1.1541E+09	1.3001E+09	7.1539E+08	7.8755E+08	6.3264E+08	3.3951E+08	3.4815E+08	2.3421E+08	4.1211E+08	2.7276E+08	1.5635E+08	2.1173E+08	2.1664E+08	17
Ga0196617_100016123	6.54E+07	4.5715E+07	2.8806E+07	1.4873E+08	1.3061E+08	1.5676E+08	1.6061E+08	1.7408E+08	1.89E+08	1.3001E+08	1.332E+08	1.2938E+08	8.4097E+07	7.2907E+07	1.0723E+08	3.5975E+07	2.6651E+07	4.2536E+07	1.4464E+07	2.9006E+07	1.2175E+07	2.5046E+07	1.3063E+07	1.8449E+07	36
Ga0196617_100016124	2.552E+08	1.4558E+08	9.9122E+07	5.2427E+08	2.5484E+08	3.7511E+08	2.2971E+08	3.6388E+08	4.1422E+08	2.5875E+08	4.0583E+08	3.7998E+08	1.8183E+08	1.6082E+08	1.7787E+08	7.7759E+07	7.2183E+07	6.4585E+07	4.9397E+07	3.1016E+07	8489300	3.053E+07	2.0934E+07	1.6633E+07	20
Ga0196617_100016125	2.8639E+07	2.1526E+07	1.0439E+07	4.2145E+07	3.1401E+07	2.8207E+07	3.457E+07	4.8424E+07	6.6713E+07	2.0867E+07	4.7278E+07	3.8467E+07	2.6261E+07	1.7049E+07	2.4721E+07	4996000	5106800	4398400	1973500	1119600	2755500	2246800	1420400	1855700	13
Ga0196617_100016126	1051900	5754700	5346300	9.0826E+07	8.0369E+07	2.6924E+07	1.0111E+08	6.539E+07	6.6743E+07	1.664E+07	1.1765E+07	1.4923E+07	7578600	1.8811E+07	9779900	1.5415E+07	2.0281E+07	1.6902E+07	3780500	7190900	2704400	3592900	2805700	2119700	35
Ga0196617_100016127	3.2633E+07	2.8186E+07	2.6013E+07	4.6676E+07	5.8135E+07	3.7836E+07	5.889E+07	3.6514E+07	2.6836E+07	5.6903E+07	3.3639E+07	5.1686E+07	3.1923E+07	2.994E+07	1.8929E+07	4.3181E+07	3.5509E+07	4.0117E+07	2.9212E+07	2.9488E+07	6.9209E+07	4.3861E+07	3.6657E+07	3.1226E+07	27
Ga0196617_10001613	940190	0	0	9196400	8110400	8444300	1.0877E+07	8242800	9843700	0	0	1360400	1343100	0	967110	0	0	1468500	0	1204400	0	1135000	696710	844320	2
Ga0196617_10001614	5012300	2034900	2220700	5219300	7828100	7371400	8325900	8101800	3463900	7600600	7809100	1.0011E+07	9395900	8097000	3371600	1.3304E+07	3827900	8214600	6920600	4127700	1.8818E+07	1.0164E+07	7792900	8554200	6
Ga0196617_10001615	0	0	0	6576000	7043300	3464300	9150000	8919800	6650500	2818200	0	5037400	3447300	0	7323000	2113200	1277100	4524400	2057500	0	0	2648800	2021000	2711100	2
Ga0196617_100016151	6.5601E+07	3.8137E+07	3.8825E+07	1.1147E+08	5.1039E+07	8.4173E+07	8.0684E+07	5.8037E+07	1.1654E+08	9.3699E+07	1.1176E+08	7.6959E+07	4.2405E+07	5.891E+07	9.8119E+07	1.7811E+07	2.0984E+07	1.7418E+07	1.0907E+07	1.6186E+07	2.6574E+07	3114700	1340700	2680400	24
Ga0196617_100016152	3.4047E+08	7.1531E+08	8.2586E+08	6.9096E+08	1.3985E+09	1.9841E+09	1.5817E+09	2.0395E+09	3.0275E+09	3.3602E+09	2.4303E+09	1.8774E+09	3.2311E+09	3.1083E+09	2.1412E+09	3.635E+09	3.3146E+09	2.5148E+09	4.7413E+09	4.7782E+09	4.2336E+09	4.9884E+09	3.8003E+09	4.1082E+09	18
Ga0196617_100016153;Ga0196617_1072641	1.0492E+07	2417100	4534000	2.7135E+07	1.6095E+07	1.8611E+07	3.8531E+07	2.8992E+07	4.5962E+07	3285000	3930600	6.1824E+07	1.0261E+07	2.0454E+07	2.2911E+07	3813900	0	3359600	818260	2623500	0	0	0	0	4
Ga0196617_100016156	6190200	0	0	0	0	0	0	330380	0	0	0	0	0	0	0	0	0	0	212870	0	0	0	0	0	2
Ga0196617_100016157	2058200	3921200	0	4964300	0	0	7868800	9440000	3115000	3182300	0	3421900	0	0	0	0	0	0	0	297270	0	0	0	0	3
Ga0196617_100016160	1917100	1560700	1564200	3792500	6392200	6816600	1.8108E+07	1.0671E+07	7941600	1.0241E+07	1.124E+07	1.6152E+07	5118200	1.5131E+07	1.0711E+07	9090800	6812200	3343700	4125200	5957400	1.134E+07	8491500	2364600	7159200	13
Ga0196617_100016161	1045300	1030100	1124600	2592800	1987400	1713800	2878300	1981000	2053600	6733700	7296200	2001300	2462000	1933500	0	1926000	2162700	2028400	1575600	0	1801800	1369100	0	0	7
Ga0196617_100016163;Ga0196617_1145561;Ga0196617_1143471;Ga0196617_1099091;Ga0196617_1164291	1.6579E+07	1.6319E+07	1.3269E+07	1.4907E+07	1.3661E+07	1.0945E+07	7078400	1.2955E+07	1.3754E+07	1.7983E+07	1.5513E+07	1.5518E+07	1.9235E+07	1.7655E+07	1.6707E+07	2.0727E+07	1.8642E+07	5941800	1.8945E+07	1.5641E+07	2.7292E+07	1.4232E+07	1.3539E+07	1.0258E+07	26
Ga0196617_100016164	1.0844E+07	8255600	1.2794E+07	3.9657E+07	1.9169E+07	1.5083E+07	4.8234E+07	4.0618E+07	6.0412E+07	3.2804E+07	1.3471E+07	2.0418E+07	6.7743E+07	3.2632E+07	6.5072E+07	2.1016E+07	2.0835E+07	3.2968E+07	1.2643E+07	2.065E+07	4.8662E+07	2.5078E+07	1.3913E+07	1.4563E+07	9
Ga0196617_10001618	5.0057E+07	2.6798E+07	2.0454E+07	6.2946E+07	5.9223E+07	7.5404E+07	1.5256E+08	1.3295E+08	1.5556E+08	9.4112E+07	8.0751E+07	1.3756E+08	2.7292E+08	1.9491E+08	2.8682E+08	1.2233E+08	1.8085E+08	1.4604E+08	1.8049E+08	1.2072E+08	8.7262E+07	1.5594E+08	1.0783E+08	1.5925E+08	18
Ga0196617_10001619	1.7615E+07	9777100	5444900	1.9134E+07	3.0739E+07	1.6073E+07	4.5462E+07	3.7123E+07	3.4019E+07	4.0874E+07	5.7905E+07	5.6707E+07	5.0334E+07	2.7586E+07	2.347E+07	2.2357E+07	2.1525E+07	2.6626E+07	1.4959E+07	1.1313E+07	5190600	9789100	7968400	8777100	21
Ga0196617_1000162	0	0	0	0	0	0	0	0	0	2273400	0	0	0	0	0	0	0	0	4049900	2471800	2010300	0	0	0	7
Ga0196617_10001620	1.2733E+08	2.6328E+07	2.6704E+07	1.3325E+08	1.3359E+08	1.494E+08	2.5585E+08	2.2179E+08	1.2801E+08	2.0164E+08	1.8006E+08	1.5937E+08	3.2315E+08	2.7182E+08	2.3856E+08	2.6929E+08	1.4323E+08	1.1772E+08	9.189E+07	8.5075E+07	1.2762E+07	6.9739E+07	8.8412E+07	9.5922E+07	17
Ga0196617_10001621	3.7276E+08	4.0628E+08	3.8865E+08	4.9683E+08	6.4929E+08	3.601E+08	7.089E+08	4.8376E+08	3.7686E+08	1.0816E+09	9.9539E+08	1.3321E+09	9.8615E+08	9.7794E+08	6.3914E+08	2.023E+09	1.653E+09	1.3196E+09	1.7E+09	1.8158E+09	2.2737E+09	2.3022E+09	1.6872E+09	1.9286E+09	29
Ga0196617_10001622;Ga0196617_1048291;Ga0196617_1030881	1.0515E+08	7.6039E+07	5.6622E+07	1.537E+08	1.3591E+08	1.2369E+08	1.7951E+08	2.0977E+08	2.0396E+08	2.4246E+08	2.3937E+08	2.3892E+08	3.5292E+08	2.2742E+08	2.3252E+08	2.3688E+08	4.0231E+08	5.7678E+08	3.4364E+08	6.3383E+08	1.5057E+08	3.9003E+08	3.3165E+08	3.6014E+08	37
Ga0196617_10001623	1135000	706880	631160	2225400	3385200	2382700	4039500	4494500	2301100	0	0	1353900	5932200	5272600	6249300	3137500	2616500	2056700	1588500	2875900	0	0	0	1761400	4
Ga0196617_10001624	0	0	0	2577400	2196600	1885200	2698900	2576600	0	0	1912900	0	3769900	0	0	1697800	0	0	0	0	0	1042100	0	0	4
Ga0196617_10001625	1838000	0	0	3180700	2467300	3979800	3698200	2587900	1242500	0	0	2432300	2545700	2278200	2173600	2886800	2616000	2940500	0	0	1040000	6153500	3351900	5432800	4
Ga0196617_10001626	6345500	0	0	0	1432700	0	0	0	0	0	0	1210900	0	0	0	1265100	0	0	0	1010800	0	0	0	0	2
Ga0196617_10001627	7.527E+07	4.2575E+07	2.2462E+07	7.8946E+07	6.5623E+07	7.5735E+07	6.0513E+07	6.2556E+07	7.2677E+07	4.4655E+07	2.8531E+07	7.903E+07	1.0011E+08	7.0786E+07	8.2481E+07	6.566E+07	8.467E+07	7.3998E+07	5.9917E+07	4.6084E+07	2.8374E+07	8.3445E+07	1.0157E+08	7.1465E+07	16
Ga0196617_10001629	2138800	0	0	2567400	3100100	2351200	7701800	4638000	7757400	2272400	0	0	0	0	0	0	0	0	0	2350900	0	2021800	0	0	4
Ga0196617_10001630	3.3387E+07	2.4115E+07	1.4811E+07	6.674E+07	5.2428E+07	3.6969E+07	4.0317E+07	4.6097E+07	4.9905E+07	5.0205E+07	5.7781E+07	5.1935E+07	6.531E+07	5.421E+07	7.859E+07	6.6999E+07	6.7803E+07	6.3716E+07	5.9153E+07	9.1467E+07	5.7111E+07	9.6374E+07	7.6167E+07	9.3661E+07	27
Ga0196617_10001631	2.7469E+07	1.6169E+07	1.1121E+07	3.9363E+07	2.5231E+07	3.1758E+07	2.0307E+07	2.5074E+07	3.046E+07	2.3619E+07	1.8725E+07	2.0086E+07	2.0552E+07	9506400	1.5383E+07	2605100	3531700	4351300	1498400	3628000	2628300	2427100	2783100	893220	17
Ga0196617_10001632	4.0219E+07	3.5486E+07	1.772E+07	2.2772E+07	3.384E+07	2.1162E+07	1.8119E+07	1.408E+07	1.0302E+07	3.555E+07	3.2872E+07	4.6121E+07	3.8998E+07	2.3459E+07	2.1237E+07	4.9447E+07	3.4763E+07	3.4931E+07	5.4785E+07	6.6606E+07	7.8339E+07	7.2026E+07	5.981E+07	5.5668E+07	19
Ga0196617_10001633	8.5188E+07	5.3758E+07	3.9439E+07	6.7237E+07	6.8966E+07	4.5746E+07	5.736E+07	3.6904E+07	3.7809E+07	6.6088E+07	6.0922E+07	6.0494E+07	2.6659E+07	2.081E+07	2.5115E+07	6460400	7681100	1.0551E+07	5073700	9443200	1.1757E+07	5929200	0	4737400	25
Ga0196617_10001634	3.0897E+08	2.5347E+08	1.2348E+08	6.738E+08	3.3051E+08	5.4205E+08	5.5939E+08	4.9739E+08	3.6678E+08	4.4064E+08	2.3077E+08	3.4256E+08	2.682E+08	3.9103E+08	3.867E+08	7.3616E+08	5.2699E+08	5.495E+08	4.7646E+08	3.8624E+08	6.1182E+08	4.6191E+08	3.9726E+08	2.6383E+08	36
Ga0196617_10001635	1138000	0	0	2.0002E+07	2.089E+07	1.8129E+07	2.9604E+07	1.9907E+07	2.0552E+07	7925300	7035800	1.006E+07	1.9408E+07	9664200	5724800	4903800	2904500	3552400	3616200	4309800	3.5279E+07	1.3834E+07	5504300	5911200	7
Ga0196617_10001636	1762800	0	0	8664100	1.4127E+07	1.1627E+07	1.2704E+07	1.4253E+07	1.0723E+07	9800200	6562000	8404900	1.6759E+07	1.1693E+07	8988800	5946500	0	3102000	4778400	2998000	5628500	7503000	4967800	5359200	3
Ga0196617_10001637	2.849E+07	1.9921E+07	9575600	4.4911E+07	5.8878E+07	4.0663E+07	3.9806E+07	3.6244E+07	2.58E+07	3.0029E+07	2.0819E+07	2.0547E+07	2.4239E+07	2.139E+07	1.3475E+07	3.1535E+07	2.4086E+07	1.4101E+07	2.8058E+07	1.2305E+07	5.7072E+07	3.7511E+07	2.8094E+07	2.3247E+07	22
Ga0196617_10001638	9.1456E+07	7.5807E+07	5.4816E+07	4.7602E+08	2.5393E+08	2.9266E+08	3.9841E+08	4.0209E+08	5.7134E+08	4.058E+08	5.1129E+08	3.9907E+08	5.5493E+08	2.8226E+08	4.9465E+08	3.2801E+08	3.1393E+08	3.1341E+08	1.7243E+08	2.9894E+08	5.6166E+07	1.3227E+08	9.9654E+07	1.0612E+08	29
Ga0196617_10001639	8.3836E+07	4.9094E+07	4.3425E+07	2.4672E+08	1.9791E+08	1.9216E+08	2.1911E+08	1.6491E+08	1.4341E+08	1.2787E+08	1.3877E+08	1.457E+08	1.3307E+08	9.2377E+07	9.2126E+07	3.5793E+07	3.1334E+07	3.253E+07	1.9218E+07	2.3409E+07	3.0335E+07	1.8056E+07	1.3422E+07	1.6372E+07	25
Ga0196617_1000164	5231100	2119300	1269600	1.3503E+07	1.2634E+07	7401100	1.3383E+07	1.6188E+07	2.2124E+07	3532500	4566000	6659500	1385700	3412300	3390700	2777400	730250	1234300	0	1386900	1157000	929390	765140	358460	6
Ga0196617_10001640	1.4468E+08	9.3503E+07	4.0774E+07	4.2706E+08	2.4234E+08	3.8657E+08	2.4642E+08	4.1482E+08	3.112E+08	2.7028E+08	2.4442E+08	3.247E+08	2.2265E+08	2.897E+08	2.8325E+08	6.7005E+07	7.2415E+07	5.1988E+07	2.2384E+07	5.1272E+07	3.3154E+07	2.0075E+07	1.6225E+07	1.3559E+07	44
Ga0196617_10001641;REV__Ga0196617_10006942	3.7279E+07	2036400	733410	9.6202E+07	6.2159E+07	4.6198E+07	7.8732E+07	3.1089E+07	8.8481E+07	7530500	4780400	1.3151E+08	2.2221E+08	1.9306E+08	4.0866E+08	8.6815E+07	1.5541E+07	4.3742E+07	1.2115E+07	1.0059E+08	1990500	1.6479E+08	9.7261E+07	2.1365E+08	15
Ga0196617_10001642	2.2452E+07	1.8383E+07	8193600	1.0284E+08	9.1035E+07	5.6803E+07	9.8635E+07	1.2847E+08	1.0542E+08	5.9763E+07	9.2266E+07	1.1482E+08	8.8772E+07	4.2906E+07	6.5193E+07	3.2605E+07	3.0559E+07	5.272E+07	2.7044E+07	3.4709E+07	1.0581E+07	2.6746E+07	1.8734E+07	2.2977E+07	18
Ga0196617_10001643	9.9063E+07	7.9502E+07	6.0535E+07	2.9444E+08	1.5031E+08	1.6457E+08	2.7146E+08	2.6379E+08	3.9365E+08	4.2225E+08	3.5447E+08	2.7502E+08	4.3332E+08	4.3496E+08	7.115E+08	1.0501E+09	5.1277E+08	7.0588E+08	6.0295E+08	8.2296E+08	4.7924E+08	3.4584E+08	5.082E+08	3.2E+08	14
Ga0196617_10001644	7.2686E+07	5.5433E+07	2.9739E+07	1.8915E+08	2.5054E+08	1.3626E+08	1.8525E+08	2.5989E+08	2.4424E+08	1.7224E+08	2.1239E+08	1.9985E+08	2.876E+08	1.4295E+08	2.5526E+08	2.5748E+08	1.9539E+08	2.3102E+08	3.1354E+08	3.059E+08	4.3134E+08	2.7872E+08	3.4698E+08	2.7522E+08	27
Ga0196617_10001645	6.6968E+07	1.6357E+07	1.348E+07	1.4848E+08	1.1789E+08	1.1927E+08	9.9254E+07	1.4879E+08	1.321E+08	1.4785E+08	1.4384E+08	2.3969E+08	4.9408E+08	1.5438E+08	4.6491E+08	2.9619E+08	1.6529E+08	8.7274E+07	1.9575E+08	8.0902E+07	8.2436E+07	2.9764E+07	3.9966E+07	6.8095E+07	9
Ga0196617_10001646	1.5404E+07	2.3854E+07	8585700	1.7972E+07	3021900	9273300	2.0948E+07	1400700	1889100	3024000	5581000	3040500	6322800	4254500	2.068E+07	0	0	0	6615900	0	4113000	4468300	6334300	2965000	11
Ga0196617_10001647	5234100	1304800	0	0	1010100	978820	1128900	1145800	1114800	1090000	0	1090100	0	0	0	0	501900	0	805800	781110	697080	0	0	0	4
Ga0196617_10001654	7771200	8685200	5413600	1.0504E+07	1.1679E+07	8702900	1.78E+07	9983700	1.3577E+07	1.3107E+07	2.0015E+07	1.2314E+07	2.2704E+07	1.2961E+07	1.3203E+07	2.9684E+07	2.0236E+07	5.4495E+07	4.024E+07	4.2475E+07	3.8124E+07	5.0804E+07	2.8765E+07	3.5795E+07	20
Ga0196617_10001665	1.0713E+07	3433800	2567700	3.5937E+07	1.5306E+07	1.9229E+07	3.5595E+07	3.9142E+07	4.6711E+07	2.1434E+07	1.7278E+07	2.2255E+07	4.0966E+07	1.2937E+07	2.4929E+07	574060	2571000	1902900	1428200	3377100	1882900	2945200	1513900	1801200	13
Ga0196617_10001670	7369300	9387800	1309300	1.4679E+07	7097300	1.2179E+07	3076600	7451500	2022000	1725500	2643200	2344100	0	0	0	1556400	3055500	1338900	1019100	1805400	0	2032800	0	1680300	12
Ga0196617_10001671	1.0691E+07	1576000	1095400	1.6392E+07	7469000	1.0206E+07	1.266E+07	1.9334E+07	1.4883E+07	1.5869E+07	3.2304E+07	1.1556E+07	1.514E+07	2.3597E+07	2.2557E+07	2.1595E+07	1.8903E+07	2.0407E+07	5317700	2.8595E+07	1.0483E+07	1.2968E+07	1.1183E+07	1.5016E+07	9
Ga0196617_10001672	0	0	0	0	1622100	0	2945400	2041200	1684100	935560	1272600	3035600	1476000	0	1724600	0	0	0	0	1730300	0	0	0	0	4
Ga0196617_10001673	8.2727E+07	5.1401E+07	3.1125E+07	1.3101E+08	5.08E+07	8.8852E+07	1.2459E+08	1.2096E+08	1.5428E+08	1.7307E+08	1.5443E+08	1.6666E+08	1.9508E+08	1.8762E+08	3.1666E+08	1.1644E+08	2.314E+08	2.4136E+08	2.4549E+08	2.2974E+08	1.6123E+08	1.5948E+08	2.0874E+08	1.5765E+08	32
Ga0196617_10001674	3.0841E+07	1.0682E+07	3116300	6.5839E+07	4.4722E+07	5.1261E+07	4.0583E+07	5.0778E+07	6.5993E+07	3.1307E+07	8.9612E+07	6.8465E+07	5.3388E+07	4.7613E+07	5.3354E+07	8479300	6251200	8968000	4026500	8849600	2082100	1778000	2136100	3089200	12
Ga0196617_10001675	4.5163E+07	2.7969E+07	1.2372E+07	6.5022E+07	6.0316E+07	4.0133E+07	5.6846E+07	4.1203E+07	2.6923E+07	4.7671E+07	4.6865E+07	6.3559E+07	9544400	8859000	3793800	2509400	5042400	6390700	4896800	3528800	3423800	1159000	1798600	3701300	36
Ga0196617_10001676	2.1652E+07	1.0234E+07	1.216E+07	4.9981E+07	3.6475E+07	4.4337E+07	6.1144E+07	6.3482E+07	5.6453E+07	5.3233E+07	6.1211E+07	6.5265E+07	1.1456E+08	8.3499E+07	1.0338E+08	5.8815E+07	6.9928E+07	5.5081E+07	8.346E+07	1.3016E+08	1.2503E+08	1.3174E+08	1.4669E+08	1.0771E+08	15
Ga0196617_10001677	3.3807E+07	9226400	4568200	3.6837E+07	1.7536E+07	2.7984E+07	3.0457E+07	3.8595E+07	4.6782E+07	2.0041E+07	1.8794E+07	9476400	1.8195E+07	1.2572E+07	2.4966E+07	8285900	0	7206100	6422000	8862600	0	0	3718700	8296500	11
Ga0196617_10001678	1.1209E+07	2158200	1044700	3.1139E+07	2.3436E+07	2.5473E+07	1.5863E+07	1.0071E+07	1.6013E+07	1.9125E+07	9493600	2.1371E+07	1.7358E+07	1.4475E+07	1.2386E+07	1404500	1127700	1833900	2161900	3872700	0	3339100	1221600	1730700	10
Ga0196617_10001679	3875200	935080	1802500	1.0947E+07	1.7014E+07	3433300	1.4651E+07	1.613E+07	8774700	1.7434E+07	1.8781E+07	1.2339E+07	8704100	5591500	7116500	1021300	1259400	1149100	446330	1324100	669010	1127100	979590	0	10
