t1A	t1B	t1C	t2A	t2B	t2C	t3A	t3B	t3C	t4A	t4B	t4C	t5A	t5B	t5C	t6A	t6B	t6C	t7A	t7B	t7C	t8A	t8B	t8C	Unique_peptides
Ga0196617_10004939;Ga0187564_101116;Ga0187557_1001131;Ga0196617_1034131	5.4186E+08	7.2555E+08	8.7038E+08	8.1209E+08	6.2028E+08	1.2136E+09	3.2272E+08	3.6996E+08	3.6261E+08	1.5288E+08	1.8959E+08	1.9256E+08	1.3019E+08	1.5147E+08	1.5848E+08	2.3657E+08	1.3549E+08	1.5009E+08	1.7987E+08	1.8749E+08	3.6793E+08	2.306E+08	2.6308E+08	1.2343E+08	39
Ga0196617_10004938;Ga0187564_101117;Ga0187557_1001132	2.265E+08	2.1334E+08	2.0699E+08	7.8679E+07	5.7929E+07	8.0779E+07	5.1064E+07	5.764E+07	6.9066E+07	7.6282E+07	7.1341E+07	6.9788E+07	6.3746E+07	6.9915E+07	7.1943E+07	4.9514E+07	4.8897E+07	5.8697E+07	7.8661E+07	2.1524E+07	2.8569E+07	6.6284E+07	8.0974E+07	7.3757E+07	23
Ga0196617_10004937;Ga0187564_101118;Ga0187557_1001133;Ga0196617_1027881	1.9661E+07	2.7908E+07	1.3789E+07	3392100	2121200	4761000	7256000	2871600	720010	3123400	1362600	1811300	1263700	793770	246010	5693000	2489200	718580	1528700	582080	1663300	1248500	1498100	1420000	15
Ga0196617_10004936;Ga0187564_101119;Ga0187557_1001134	1.2418E+08	1.4829E+08	1.0352E+08	6.9104E+07	1.0357E+08	9.4342E+07	5.8133E+07	1.0562E+08	7.8804E+07	9.0351E+07	7.3288E+07	9.8187E+07	9.8655E+07	8.609E+07	1.4585E+08	1.098E+08	1.2151E+08	1.6861E+08	1.8949E+08	1.1891E+08	1.4094E+08	9.8481E+07	1.6509E+08	1.0456E+08	20
Ga0196617_10004935;Ga0187564_101120;Ga0187557_1001135;Ga0196617_1061881;Ga0196617_1074511;Ga0196617_1074081	6.9189E+07	3.3794E+07	5.3103E+07	3.6329E+07	5.3439E+07	4.6537E+07	6.1475E+07	7.6375E+07	6.4832E+07	4.2476E+07	6.0693E+07	7.2946E+07	1.3018E+08	7.2999E+07	8.9172E+07	7.3829E+07	5.1602E+07	5.6435E+07	1.1112E+08	1.0326E+08	5.8952E+07	1.5368E+08	1.4533E+08	1.2335E+08	17
Ga0196617_10004933;Ga0187564_101122;Ga0187557_1001137;Ga0196617_1132351;Ga0196617_1150031	3.4651E+07	3.184E+07	5.597E+07	1.627E+07	1.1303E+07	2.1559E+07	2318400	4675900	6865100	3495400	1636700	1740900	1487100	2673200	5163500	1240100	1773200	2297700	1624700	723860	2309400	3163800	7478900	3972000	8
Ga0196617_10004930;Ga0187564_101125;Ga0187557_1001140;Ga0196617_1079931;Ga0196617_1022811;Ga0196617_1100451;Ga0196617_1101091;Ga0196617_1101081	2.8276E+07	1.4477E+07	3.7918E+07	1.3037E+07	7590700	1.4347E+07	1.4762E+07	6703700	5315500	3734300	3784200	1.49E+07	9108000	6050100	2760100	1.7684E+07	1.1093E+07	6386300	5317500	3940800	3450400	1.4214E+07	1.3505E+07	1.4227E+07	14
Ga0196617_10004926;Ga0187564_101129;Ga0187557_1001144;Ga0196617_1030091	2.1625E+07	1.4995E+07	5.0207E+07	1768400	2411100	1530900	1208600	6029700	1043000	1050400	1266900	1470700	1014800	879950	0	1657500	0	1276700	1434700	848810	3105500	970930	0	0	11
Ga0196617_10004925;Ga0187564_101130;Ga0187557_1001145	5.1775E+07	2.8976E+07	4.4642E+07	7620200	1.5303E+07	2.4438E+07	1.1525E+07	6418800	7443100	4575600	5348600	4043800	5190900	1.5907E+07	9120200	5709000	4841400	6573800	6258300	1.1704E+07	3651600	7485400	4075400	5841800	22
Ga0196617_10004924;Ga0187564_101131;Ga0187557_1001146	0	682400	845720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Ga0196617_10004923;Ga0187564_101132;Ga0187557_1001147;Ga0196617_1022812	4.3925E+07	4.5301E+07	9.0281E+07	6050800	1.6876E+07	5573000	1.1405E+07	7358400	2814600	1.3056E+07	4544100	1.4328E+07	3820900	3051400	1579500	1.0545E+07	1.4116E+07	5525500	1.059E+07	1.6331E+07	8444000	4339300	3987400	3065400	22
Ga0196617_10004922;Ga0187564_101133;Ga0187557_1001148	1822400	8229000	9328100	570940	985640	978840	368800	506790	0	446790	0	0	0	0	374330	530110	0	0	857810	348480	0	0	0	466430	5
Ga0196617_10004921;Ga0187564_101134;Ga0187557_1001149;Ga0196617_1045651	6397900	1.0768E+07	2.015E+07	5448500	0	2064600	1399500	1488100	0	1253100	1425600	3318200	0	0	0	8402500	0	3609600	1963600	3854800	3373000	0	0	0	9
Ga0196617_10004920;Ga0187564_101135;Ga0187557_1001150;Ga0196617_1060561;Ga0196617_1145101;Ga0196617_1092661;Ga0196617_1053891	5.1918E+07	7.8273E+07	8.9974E+07	1.8362E+07	1.1164E+07	2.7796E+07	2.4569E+07	2.0559E+07	1.6034E+07	1.4178E+07	1.8448E+07	1.4326E+07	1.7047E+07	1.6179E+07	1.0019E+07	1.0302E+07	8484500	1.5346E+07	1.9599E+07	1.2836E+07	3.0544E+07	1.0852E+07	1.67E+07	1.0421E+07	35
Ga0196617_10004917;Ga0187564_101138;Ga0187557_1001153	1203800	2853700	4523800	0	0	0	0	498840	0	212350	529570	0	0	1216500	0	0	0	0	357390	0	0	0	0	0	2
Ga0187564_101141;Ga0187557_1001156	2.4163E+08	3.1563E+08	2.4119E+08	1.5239E+08	1.4148E+08	2.0998E+08	7.1434E+07	1.3294E+08	1.2418E+08	6.9882E+07	7.5132E+07	7.5942E+07	8.8339E+07	9.3679E+07	1.1884E+08	5.4359E+07	7.6152E+07	9.9624E+07	1.0983E+08	7.1307E+07	1.2947E+08	1.1482E+08	1.4477E+08	1.0191E+08	2
