ORF,protein,protein_corrected,RNA,protein2RNA,protein2RNA_corrected
IPI00133928.1,381843.68,567612.24,22.68,16836.1410934744,25026.9947089947
IPI00337980.5;IPI00187426.1,380400.93,566414.84,21.22,17926.5282752121,26692.4995287465
IPI00111181.1,380366.44,566386.19,34.37,11066.8152458539,16479.0861216177
IPI00320480.3;IPI00894742.1;IPI00895501.1;IPI00895441.1;IPI00895436.1,378664.89,564971.36,49.77,7608.2959614226,11351.6447659232
IPI00127172.3,378584.9,564904.78,63.37,5974.197569828,8914.3881963074
IPI00316740.4;IPI00830885.1;,378566.12,564889.14,186.08,2034.4266981943,3035.7326956148
IPI00775965.1;IPI00315334.5;IPI00856440.1;IPI00857121.1;IPI00895033.1;IPI00830951.2,378351.91,564710.81,22.63,16719.0415377817,24954.0790985418
IPI00126115.1;IPI00278561.1;IPI00653231.1,377174.05,563729.42,17.17,21967.038439138,32832.2317996506
IPI00321647.2;IPI00849863.1;IPI00124306.1,377111.08,563676.91,166,2271.7534939759,3395.6440361446
IPI00129186.1,376290.75,562992.56,40.19,9362.7954715103,14008.2746951978
IPI00406492.1;IPI00831695.1;IPI00406493.3;IPI00831118.1;IPI00473663.1,375822.63,562601.74,34.75,10815.0397122302,16189.9781294964
IPI00408957.3;IPI00225028.1,375785.73,562570.93,15.41,24385.8358208955,36506.8741077223
IPI00315100.1;IPI00458109.1;IPI00133412.1,375611.34,562425.27,67.13,5595.2828839565,8378.1509012364
IPI00453771.2,375518.71,562347.9,33.63,11166.1822777282,16721.6146297948
IPI00420727.5,375454.97,562294.65,18.56,20229.2548491379,30296.0479525862
IPI00671957.2;IPI00658593.2;IPI00831512.1,374840.83,561781.37,22.06,16991.8780598368,25466.0639165911
IPI00116761.1;IPI00857597.1;IPI00350016.4;IPI00605890.4;IPI00665212.1;IPI00752901.1;IPI00664832.2,373337.22,560523.14,24.56,15201.0268729642,22822.6034201954
IPI00115511.1;IPI00757690.1;IPI00856303.1,372632.69,559932.81,44.2,8430.6038461539,12668.1631221719
IPI00608020.4;IPI00762203.2;IPI00625129.3;IPI00228379.5;IPI00381328.5;IPI00379258.1;IPI00669044.1;IPI00623155.5,372255.56,559616.61,866.36,429.6776859504,645.9400364744
IPI00111218.1;IPI00858077.1;IPI00113073.3,370082.89,557792.19,16.27,22746.336201598,34283.4781807007
IPI00338964.3;IPI00468900.5;IPI00311654.4;IPI00336889.4;IPI00944111.1;IPI00311200.4;IPI00889820.1,369556.4,557349.38,90.39,4088.4655382233,6166.0513331121
IPI00387397.3,369265.14,557104.29,17.42,21197.7692307692,31980.7284730195
IPI00170307.1,369241.93,557084.76,32.09,11506.448426301,17360.0735431599
IPI00118143.1;IPI00624988.4;IPI00121977.3,368619.04,556560.31,,,
IPI00221523.4;IPI00798527.1;IPI00653633.3,368090.48,556114.97,39.25,9378.1014012739,14168.5342675159
IPI00229834.3;IPI00928004.1;IPI00404856.1;IPI00928577.1;IPI00927965.1,367322.36,555467.3,51.91,7076.1387015989,10700.5837025621
IPI00125832.1;IPI00857516.1;IPI00857357.1,366918.48,555126.51,22.05,16640.293877551,25175.8054421769
IPI00453819.2,366212.05,554530.03,32.97,11107.432514407,16819.2305125872
IPI00309322.3;IPI00881090.1;IPI00881455.3;IPI00881172.1,366096.45,554432.37,23.77,15401.6175851914,23324.8788388725
IPI00132390.5;IPI00400230.1,364619.06,553183.1,,,
IPI00130353.5,364215.99,552841.88,39.54,9211.3300455235,13981.8381385938
IPI00135655.3;IPI00308187.1;IPI00654073.1,363030.97,551837.73,8.35,43476.7628742515,66088.3508982036
IPI00119876.1,362995.64,551807.77,39.71,9141.164442206,13895.939813649
IPI00125923.1,362841.69,551677.2,20.23,17935.822540781,27270.2521008403
IPI00125880.1,361670.02,550682.71,65.59,5514.1030644915,8395.8333587437
IPI00405108.1,360613.31,549784.56,,,
IPI00307991.1;IPI00857937.1;IPI00345994.2;IPI00857756.1,360469.93,549662.61,36,10013.0536111111,15268.4058333333
IPI00133110.1,358703.25,548158.17,18.93,18948.9302694136,28957.1141045959
IPI00894870.1;IPI00850580.1,356391.03,546184.2,52.39,6802.6537507158,10425.352166444
IPI00762858.1;IPI00468553.3;IPI00928559.1;IPI00283611.1;IPI00759938.1;IPI00283612.2;IPI00928408.1;IPI00928405.1;IPI00928308.1,355410.79,545345.65,38.52,9226.6560228453,14157.467549325
IPI00115117.1;IPI00649391.2;IPI00648577.3;IPI00648759.3,355147.79,545120.49,24.23,14657.3582335947,22497.7503095336
IPI00121851.2;IPI00830479.1,353615.44,543807.16,22.89,15448.4683267803,23757.4119702927
IPI00133030.3;IPI00849485.1;IPI00606831.1,353444.73,543660.69,101.78,3472.6344075457,5341.5277068186
IPI00153421.1,352638.57,542968.59,,,
IPI00667117.2;IPI00222430.5;IPI00831604.1;IPI00831693.1,352208.16,542598.8,58.38,6033.0277492292,9294.2583076396
IPI00136169.1;IPI00410858.2;IPI00918348.1;IPI00918132.1;IPI00918200.1;IPI00381169.2,352046.33,542459.7,30.19,11661.0245114276,17968.1914541239
IPI00117687.1,351877.14,542314.26,34.58,10175.7414690573,15682.8877964141
IPI00459280.2;IPI00651984.1;IPI00895418.1,351380.48,541887.11,16.64,21116.6153846154,32565.3311298077
IPI00331394.3;IPI00875924.1,351256.26,541780.24,14.14,24841.3196605375,38315.4342291372
IPI00381407.3;IPI00463070.3;IPI00850066.1;IPI00665993.3,350577.13,541195.64,,,
IPI00118930.1,349746.73,540480.15,27.07,12920.0860731437,19966.0195788696
IPI00876084.1;IPI00331182.4,349506.27,540272.82,15.2,22993.8335526316,35544.2644736842
IPI00130948.3,349388.44,540171.2,33.92,10300.366745283,15924.858490566
IPI00623214.2,349271.5,540070.34,,,
IPI00135087.3,349230.55,540035.02,51.93,6725.0250336992,10399.2878875409
IPI00316184.1;IPI00880604.1;IPI00880428.1,348935.47,539780.42,29.11,11986.7904500172,18542.7832360014
IPI00169845.2,348569.61,539464.62,11.84,29440.0008445946,45562.8902027027
IPI00130144.2;IPI00316509.1;IPI00831534.1;IPI00895045.1;IPI00894839.1,348486.83,539393.15,23.75,14673.1296842105,22711.2905263158
IPI00226872.1,347865.17,538856.17,17.22,20201.2293844367,31292.4605110337
IPI00751137.1;IPI00377728.2,346796.7,537932.24,39.72,8731.0347432024,13543.10775428
IPI00653381.3;IPI00828969.1;IPI00415684.6;IPI00467374.1;IPI00415685.3,346624.99,537783.64,30.69,11294.3952427501,17523.0902574128
IPI00757611.1;IPI00463344.5;IPI00648539.2;IPI00648819.2;IPI00648387.2;IPI00648157.1,346257.27,537465.3,41.15,8414.5144592953,13061.1251518834
IPI00331422.4;IPI00410740.1,345999.08,537241.7,,,
IPI00323822.1,345530.86,536836.01,23.31,14823.2887172887,23030.2878592879
IPI00117642.3,345208.83,536556.84,34.74,9936.926597582,15444.9291882556
IPI00128154.1;IPI00120000.5,344000.4,535508.24,485.21,708.9721976052,1103.6628264051
IPI00877286.1;IPI00134784.6;IPI00886120.1,343170.22,534786.91,44.61,7692.6747366062,11988.0499887918
IPI00330627.5;IPI00756122.1;IPI00652447.1;IPI00754290.1,342375.72,534095.87,13.1,26135.5511450382,40770.6770992366
IPI00407692.3;IPI00844689.1;IPI00858269.1;IPI00857006.1,342111.64,533866.02,20.3,16852.7901477833,26298.8187192118
IPI00133047.1;IPI00669600.1,341826.38,533617.64,14.04,24346.6082621083,38006.9544159544
IPI00119131.2;IPI00127437.2,341424.53,533267.6,48.42,7051.3120611318,11013.3746385791
IPI00123589.1,339916.97,531952.77,65.31,5204.6695758689,8145.0431786863
IPI00127431.1;IPI00462641.1;IPI00849235.1;IPI00850553.1;IPI00553344.1,339728.96,531788.62,,,
IPI00454049.4;IPI00886151.1;IPI00459020.1,339701.1,531764.29,,,
IPI00753815.3;IPI00757353.2,339190.8,531318.52,,,
IPI00828623.1;IPI00410802.2;IPI00265503.4;IPI00265504.4;IPI00223771.3;IPI00265505.4;IPI00223773.4;IPI00466077.1;IPI00875240.1;IPI00266152.4;IPI00223772.2;IPI00828592.1;IPI00753669.1;IPI00223770.2;IPI00757131.1;IPI00223769.5;IPI00720073.1;IPI00756545.1;IPI00874953.1;IPI00266155.1;IPI00266154.1,337235.54,529607.76,69.63,4843.2506103691,7606.028436019
IPI00109764.2;IPI00874810.1,335705.98,528266.4,29.52,11372.1537940379,17895.2032520325
IPI00308938.6;IPI00622742.1,334736.02,527414.39,55.11,6073.9615314825,9570.2121212121
IPI00751759.1;IPI00136002.1,334498.55,527205.63,17.9,18687.0698324022,29452.8284916201
IPI00122521.1;IPI00230598.1;IPI00230599.1;IPI00230601.1;IPI00230600.1;IPI00230602.1;IPI00230597.1,333609.15,526423.18,50.62,6590.4612801264,10399.5096799684
IPI00457532.2;IPI00648538.1,332476.02,525424.97,17.39,19118.8050603795,30214.201840138
IPI00311476.1,331829.53,524854.78,35.3,9400.2699716714,14868.4073654391
IPI00955167.1;IPI00461469.3;IPI00894930.1;IPI00134990.2,331713.16,524752.09,41.48,7996.9421407908,12650.7254098361
IPI00309207.5;IPI00227864.2;IPI00755990.1;IPI00648594.1;,331314.5,524400.18,29.01,11420.6997587039,18076.531540848
IPI00132705.1,330321.03,523522.4,64.31,5136.3867205722,8140.606437568
IPI00875405.1;IPI00267295.5;IPI00928092.1,329803.43,523064.62,76.58,4306.6522590755,6830.303212327
IPI00556838.2;IPI00120930.1,327378.68,520915.83,20.71,15807.7585707388,25152.8647996137
IPI00115257.1;IPI00608118.1;IPI00649508.1;IPI00649945.1;IPI00649249.1,327260.08,520810.54,24.37,13428.8091916291,21370.9700451375
IPI00108844.1;IPI00828820.1,327135.99,520700.37,49.51,6607.4730357504,10517.0747323773
IPI00776164.1;IPI00755513.2;IPI00135708.1;IPI00653120.3,327073.31,520644.71,34.53,9472.1491456704,15078.0396756444
IPI00116356.5;IPI00622811.2;IPI00751634.1,326856.7,520452.33,50.76,6439.2572892041,10253.1979905437
IPI00111258.4,326578.91,520205.53,26.46,12342.3624338624,19660.0729402872
IPI00132350.1;IPI00880514.1,326496.8,520132.57,11.92,27390.6711409396,43635.2827181208
IPI00380280.3;IPI00830256.1;IPI00620956.2;IPI00830155.1;,326035.93,519722.86,37.56,8680.4028221512,13837.1368477103
IPI00122011.2;IPI00625759.2,325949.7,519646.18,65.26,4994.6322402697,7962.7057922158
IPI00128867.3;IPI00153880.4;IPI00408500.2,325605.59,519340.07,15.05,21634.922923588,34507.6458471761
IPI00331339.3;IPI00929835.1,325435.81,519188.99,28.05,11601.9896613191,18509.4114081996
IPI00420329.1;IPI00466991.1,324014.99,517923.27,43.27,7488.2133117634,11969.5694476543
IPI00311131.1;IPI00331548.2,323626.47,517576.73,22.18,14590.9138863841,23335.2899008115
IPI00310578.3;IPI00377384.3;IPI00670994.1,323615.92,517567.32,18.07,17909.0160486995,28642.353071389
IPI00331155.4;IPI00850469.1;IPI00849875.1;IPI00268627.1;IPI00120334.5,323247.05,517238.13,63.64,5079.3062539284,8127.5633249529
IPI00121562.1;IPI00830689.1,323207.98,517203.26,11.5,28105.0417391304,44974.1965217391
IPI00119478.1;IPI00309658.1;IPI00655150.1;IPI00402982.2;IPI00845765.1,322760.79,516803.93,17.44,18506.9260321101,29633.2528669725
IPI00351206.5,322558.21,516622.96,22.43,14380.6602764155,23032.6776638431
IPI00667471.1;IPI00880817.1;IPI00473753.2;IPI00405256.1;IPI00221411.1,322189.88,516293.78,23.17,13905.476046612,22282.856279672
IPI00112701.1,321908.44,516042.14,13.6,23669.7382352941,37944.275
IPI00226771.4,321422.06,515607.04,8.21,39150.0682095006,62802.3191230207
IPI00130530.1;IPI00857574.1;IPI00649428.2,321030.97,515256.97,11.96,26842.0543478261,43081.6864548495
IPI00224070.2;IPI00404970.2,320046.51,514374.93,23.68,13515.4776182432,21721.9142736486
IPI00153794.3;IPI00929833.1;IPI00929884.1,319524.04,513906.32,9.8,32604.493877551,52439.4204081633
IPI00127021.1;IPI00469261.2;IPI00881361.1,318308.96,512815.21,86.76,3668.8446288612,5910.7331719687
IPI00114819.3;IPI00881268.1;IPI00881690.1,317231.97,511846.55,35.18,9017.3953951109,14549.3618533258
IPI00116825.1,317045.88,511679.04,72.09,4397.9176029963,7097.7811069497
IPI00466200.3;IPI00459357.1,316377.08,511076.62,7.22,43819.540166205,70786.2354570637
IPI00133446.1,316024.01,510758.37,109.83,2877.3924246563,4650.4449603933
IPI00227843.6,313984.29,508916.73,,,
IPI00230612.3;IPI00323644.4;IPI00881157.1;IPI00918851.1,313957.39,508892.4,28.11,11168.8861615084,18103.6072572038
IPI00119020.1,313444.68,508428.63,64.3,4874.7228615863,7907.132659409
IPI00400301.2,312846.16,507886.82,17.68,17694.9185520362,28726.6300904977
IPI00125652.1;IPI00828588.2,312029.3,507146.61,121.7,2563.9219391947,4167.1866064092
IPI00331251.1;IPI00116591.1;IPI00885762.1,312016.45,507134.96,13.77,22659.1466957153,36828.9731299927
IPI00153107.3;IPI00551490.1,311182.1,506378,21.73,14320.391164289,23303.1753336401
IPI00113386.1,308955.27,504353.32,10.74,28766.7849162011,46960.2718808194
IPI00230351.1,308763.86,504178.99,40.33,7655.9350359534,12501.3387056782
IPI00115850.2,308636.57,504063.03,,,
IPI00229884.1,308611.38,504040.08,18.88,16345.9417372881,26697.0381355932
IPI00121341.1,308526.14,503962.41,21.71,14211.245508982,23213.3767848918
IPI00132089.2,308298.54,503754.98,38.28,8053.775862069,13159.7434691745
IPI00112645.1;IPI00880577.1;IPI00880698.1;IPI00399462.3;IPI00918786.1;IPI00849067.1;IPI00341012.5;IPI00918871.1,308094.18,503568.68,58.11,5301.9132679401,8665.7835140251
IPI00272622.1,307633.99,503148.94,34.81,8837.517667337,14454.1493823614
IPI00112128.1,307239.63,502789.03,3.4,90364.5970588235,147879.126470588
IPI00876050.1;IPI00136054.1;IPI00461314.1;IPI00461706.1,307014.73,502583.68,57.27,5360.8299284093,8775.6884931029
IPI00121545.1;IPI00756703.1;IPI00607988.1;IPI00459334.1,306831.4,502416.24,37.17,8254.8130212537,13516.7134786118
IPI00133229.1,306520.5,502132.19,42.3,7246.3475177305,11870.7373522459
IPI00137471.3;IPI00775981.1,306354.47,501980.44,11.26,27207.3241563055,44580.8561278863
IPI00310474.3,305913.27,501577.02,26.84,11397.6628166915,18687.6684053651
IPI00553784.1;IPI00856839.1;IPI00655088.2;IPI00875023.1;IPI00856428.1,305698.95,501380.96,16.59,18426.6998191682,30221.8782399036
IPI00128441.3;IPI00135308.3;IPI00648869.1;IPI00648571.1,305663.04,501348.11,37.67,8114.2298911601,13308.9490310592
IPI00130734.1;IPI00857689.1,304881.27,500632.39,18.22,16733.3298572997,27477.079582876
IPI00330591.1,304630.49,500402.63,131.92,2309.2062613705,3793.2279411765
IPI00323144.4;IPI00880922.1,304623.3,500396.04,62.87,4845.2886909496,7959.2180690313
IPI00344307.2;IPI00469776.3;IPI00316537.1;IPI00354992.4;IPI00881145.1,304234.57,500039.72,76.12,3996.7757488177,6569.0977404099
IPI00308162.3,304232.37,500037.7,12.22,24896.2659574468,40919.6153846154
IPI00331192.4;IPI00656165.1;IPI00656182.1,303753.13,499598.14,20,15187.6565,24979.907
IPI00128155.2;IPI00845557.1;IPI00845775.1,303208.06,499097.82,67.73,4476.7172597077,7368.9328214971
IPI00337893.2,302275.75,498241.14,42.44,7122.4257775683,11739.8949104618
IPI00381412.1;IPI00554845.2;IPI00228150.1;IPI00381413.2;IPI00555088.1,301977.67,497966.99,54.62,5528.7013914317,9116.9350054925
IPI00124221.1,301878.4,497875.67,73.68,4097.1552660152,6757.2702225842
IPI00352475.3,301314.99,497357.09,,,
IPI00229680.5;IPI00885326.1;IPI00885228.1,300586.44,496685.88,21.22,14165.2422243167,23406.4976437323
IPI00130304.1;IPI00221883.1,299570.4,495748.6,18.52,16175.5075593953,26768.282937365
IPI00132151.1,299273.97,495474.89,5.65,52968.8442477876,87694.6707964602
IPI00624501.2,299148.2,495358.72,41.99,7124.2724458204,11797.0640628721
IPI00128326.1;IPI00678029.2;IPI00885924.1;IPI00919157.1;IPI00886420.1;IPI00928255.1,298984.47,495207.46,178.55,1674.5139736769,2773.4945953515
IPI00338536.1,298859.3,495091.79,40.11,7450.9922712541,12343.3505360259
IPI00153381.1;IPI00876321.1;IPI00264082.1,298792.13,495029.71,150.83,1980.9860770404,3282.0374593914
IPI00469331.2;IPI00758138.2,298564.61,494819.4,,,
IPI00121833.3,298531.26,494788.56,,,
IPI00349069.4,298479.98,494741.15,22.16,13469.3131768953,22325.8641696751
IPI00117379.3,297978,494276.81,91.62,3252.3248199083,5394.8571272648
IPI00133491.1,297853.27,494161.38,63.98,4655.41216005,7723.6852141294
IPI00420706.4;IPI00875457.1;IPI00886008.1,297851.89,494160.11,,,
IPI00319830.7;IPI00831369.1;IPI00556909.1,297762.21,494077.1,47.85,6222.8257053292,10325.5402298851
IPI00458704.2;IPI00918172.1;IPI00918117.1,297357.84,493702.69,27.28,10900.2140762463,18097.6059384164
IPI00132531.1;IPI00881846.1;IPI00881750.1;IPI00882364.1;IPI00882043.1,296876.96,493257.13,30.5,9733.6708196721,16172.3649180328
IPI00129873.1;IPI00849654.1;IPI00135842.1;IPI00353923.3,296185.19,492615.63,7.73,38316.3247089263,63727.765847348
IPI00116154.2;IPI00785410.1,295842,492297.13,85.79,3448.4438745775,5738.3975987877
IPI00315948.3,295545.54,492021.86,32.76,9021.5366300366,15018.9822954823
IPI00133737.2;IPI00928293.1,295395.72,491882.71,35.2,8391.9238636364,13973.940625
IPI00608017.1;IPI00118059.1,295364.7,491853.89,18.19,16237.7515118197,27039.7960417812
IPI00321744.3,295051.85,491563.2,46.26,6378.1204063986,10626.0959792477
IPI00944043.1;IPI00129350.1;IPI00221398.1,294632.43,491173.27,21.12,13950.3991477273,23256.3101325758
IPI00133608.3;IPI00856842.1,294596.56,491139.91,73.72,3996.1551817689,6662.2342647857
IPI00109696.1,294487.21,491038.2,,,
IPI00113738.2;IPI00355382.2,294131.04,490706.81,22.84,12877.8914185639,21484.5363397548
IPI00223425.2;IPI00877283.1;IPI00877224.1;IPI00331207.5;IPI00877264.1;IPI00153656.1;IPI00606138.1;IPI00121045.2;IPI00876493.1;IPI00607041.1;IPI00886040.1;IPI00886174.1;IPI00885248.1;IPI00886410.1;IPI00785326.1;IPI00605392.1;IPI00408241.1;IPI00606741.1,293344.49,489974.35,27.11,10820.5271117669,18073.5651051273
IPI00320188.5,290862.44,487657.27,10.2,28515.9254901961,47809.5362745098
IPI00317710.1;IPI00317711.1;IPI00857988.1;IPI00856715.1;IPI00856856.1,290839.57,487635.88,38.89,7478.5181280535,12538.8500899974
IPI00121309.2;IPI00475158.3,289556.68,486434.79,23.63,12253.7740160813,20585.4756665256
IPI00329942.4;IPI00776216.1;IPI00461653.1,289554.52,486432.77,18.04,16050.6940133038,26964.1225055432
IPI00222739.2;IPI00664246.4;IPI00831135.1;IPI00831710.1;IPI00831024.1,289319.74,486212.7,40.65,7117.3367773678,11960.9520295203
IPI00404707.1;IPI00761500.1,288756.16,485684.12,20.74,13922.6692381871,23417.7492767599
IPI00396739.1;IPI00663812.4;IPI00652115.2,287880.03,484861.5,16.71,17228.0089766607,29016.2477558348
IPI00264501.8;IPI00321378.3;IPI00404438.1;IPI00404436.1;IPI00404435.1;IPI00404434.1,287846.12,484829.64,41.17,6991.6473160068,11776.2846733058
IPI00132128.1,287298.07,484314.47,19.05,15081.2635170604,25423.3317585302
IPI00134820.1,285662.48,482774.41,29.94,9541.16499666,16124.7297929192
IPI00223060.1;IPI00130729.3;IPI00131438.1,285091.52,482235.88,13.22,21565.1679273828,36477.7518910741
IPI00466610.5;IPI00378858.3;IPI00869412.1,284958.39,482110.25,22.35,12749.8161073826,21570.9284116331
IPI00130173.1;IPI00755939.1,283091.92,480346.1,49.64,5702.8992747784,9676.5934730056
IPI00875340.1,280751.13,478126.34,,,
IPI00134058.3,280712.57,478089.71,14.13,19866.423920736,33835.0820948337
IPI00229527.7;IPI00798439.1,280279.22,477677.84,22.6,12401.7353982301,21136.1876106195
IPI00119930.2,279567.83,477001.11,,,
IPI00915480.1;IPI00115831.1;IPI00830598.1;IPI00831165.2,279440.86,476880.25,,,
IPI00153792.1,279271.04,476718.56,39.6,7052.298989899,12038.3474747475
IPI00272238.5;IPI00896572.1,278902.09,476367.12,18.97,14702.2714812862,25111.6035846073
IPI00754386.4;IPI00187353.1,278836.96,476305.06,22.03,12657.1475261008,21620.7471629596
IPI00130486.1,277566.73,475093.41,65.14,4261.0796745471,7293.4204789684
IPI00124000.1;IPI00129709.1;IPI00894921.1;IPI00551176.1;IPI00551114.1,276629.42,474197.76,71.97,3843.6768097819,6588.8253438933
IPI00224075.1;IPI00857663.1;IPI00830998.1;IPI00858002.1;IPI00856466.1;IPI00856970.1;IPI00858302.1;IPI00857845.1;IPI00831094.1,276535.7,474108.13,20.95,13199.7947494033,22630.4596658711
IPI00117416.1,275605.61,473217.92,8.44,32654.6931279621,56068.4739336493
IPI00130240.1,275503.5,473120.11,39.35,7001.3595933926,12023.3827191868
IPI00676631.1;IPI00877211.1,275500.75,473117.47,31.74,8679.922810334,14906.0324511657
IPI00116750.2;IPI00923070.1;IPI00922994.1;IPI00311649.3;IPI00923028.1;IPI00923044.1,274974.55,472613.16,44.85,6130.9821627648,10537.6401337793
IPI00133249.1,273943.78,471624.03,85.61,3199.9039831795,5508.9829459175
IPI00311591.3,273655.28,471346.89,42.53,6434.405831178,11082.6919821303
IPI00221921.5,272973.35,470691.29,166.13,1643.1309817613,2833.2708722085
IPI00329913.9;IPI00757109.2;IPI00480558.4,272934.44,470653.86,11.98,22782.5075125209,39286.632721202
IPI00329837.3;IPI00459295.1,272799.27,470523.82,13.69,19926.9006574142,34369.8918918919
IPI00461933.2;IPI00133886.1;IPI00554858.2;IPI00471078.1,272633.88,470364.66,31.5,8655.0438095238,14932.2114285714
IPI00856488.1;IPI00116284.4;IPI00387376.3;IPI00830819.1;IPI00918275.1;IPI00830797.1;IPI00856195.1;IPI00830540.1;IPI00856617.2,272624.35,470355.49,46.67,5841.5331047782,10078.3263338333
IPI00653266.1;IPI00319874.3;IPI00856437.1;IPI00856727.1;,271450.76,469224.88,17.34,15654.5997693195,27060.2583621684
IPI00119203.4;IPI00649885.3,271266.95,469047.61,29.38,9233.0479918312,15964.8607896528
IPI00115454.3,271130.89,468916.35,19.48,13918.4235112936,24071.681211499
IPI00126834.1;IPI00653571.2;IPI00264750.4,271027.57,468816.66,47.02,5764.0912377712,9970.5797532965
IPI00133399.1,270942.04,468734.12,68.36,3963.4587478057,6856.8478642481
IPI00320121.6;IPI00848891.1,270590.69,468394.94,484.91,558.0224990204,965.9420098575
IPI00126939.1,270041.45,467864.33,32.39,8337.1858598333,14444.7153442421
IPI00284934.1;IPI00754363.1;IPI00882252.1;IPI00882119.1;IPI00515295.2;IPI00649272.1;IPI00853715.1,269985.36,467810.12,24.86,10860.231697506,18817.7843925986
IPI00652831.2;IPI00876551.1;IPI00230009.1,269558.49,467397.36,35.77,7535.8817444786,13066.7419625384
IPI00124639.1;IPI00648626.1,269331.93,467178.17,30.19,8921.2298774429,15474.5998675058
IPI00138716.1,268726.13,466591.68,8.5,31614.8388235294,54893.1388235294
IPI00471341.2;IPI00880507.1,268350.88,466228.1,37.01,7250.7668197784,12597.3547689814
IPI00230429.4;IPI00135150.4,268186.41,466068.67,18.51,14488.7309562399,25179.2906537007
IPI00133562.1;IPI00751223.1;IPI00754739.1;IPI00757033.1,267840.55,465733.28,25.48,10511.7955259027,18278.3861852433
IPI00111416.1,267452.16,465356.41,16.42,16288.1948842875,28340.8288672351
IPI00405736.3;IPI00310916.1,267339.7,465247.24,,,
IPI00131228.1;IPI00474820.1,267179.38,465091.58,18.47,14465.5863562534,25180.919328641
IPI00132474.3;IPI00475101.4,266583.48,464512.63,,,
IPI00329872.1;IPI00623191.2,265519.22,463477.21,589.1,450.7201154303,786.7547275505
IPI00115668.1;IPI00751087.1;IPI00919100.1,264809.29,462785.5,6.13,43198.9053833605,75495.1876019576
IPI00131909.1,264688.13,462667.37,23.74,11149.4578770008,19488.9372367313
IPI00137848.1,264637.34,462617.84,39.46,6706.4708565636,11723.7161682717
IPI00137706.1;IPI00831110.1;IPI00886325.1;IPI00857173.1;IPI00652719.3;IPI00857592.1;IPI00880760.1,264578.54,462560.49,36.65,7219.0597544338,12621.0229195089
IPI00116804.1;IPI00886198.1;IPI00885400.1,263941.85,461939.21,30.04,8786.3465379494,15377.4703728362
IPI00111831.1;IPI00121297.1,262917.69,460938.43,6.63,39655.7601809955,69523.1417797888
IPI00121596.4;IPI00654361.2,262477.45,460507.71,106.48,2465.0399135988,4324.8282306537
IPI00130158.3;IPI00673797.2,262418.84,460450.35,28.76,9124.438108484,16010.0956189152
IPI00471441.1;IPI00459326.1,261987.8,460028.28,91.29,2869.8411655165,5039.1968452185
IPI00875732.1;IPI00230615.8;IPI00405347.1;IPI00830452.1;IPI00828859.1,261628.24,459675.97,13.75,19027.5083636364,33430.9796363636
IPI00458204.8;IPI00850173.1,261453.91,459505.07,,,
IPI00323251.3;IPI00124675.1;IPI00875039.1;IPI00845811.1,261191.84,459248.08,11.07,23594.5654923216,41485.8247515808
IPI00121288.5;IPI00880613.1,261089.04,459147.24,67.11,3890.4640143049,6841.7112203845
IPI00229796.3,261036.78,459095.96,19.51,13379.6401845208,23531.3152229626
IPI00225337.5,261036.43,459095.62,8.01,32588.8177278402,57315.3083645443
IPI00856171.1;IPI00849741.1;IPI00850157.1;IPI00460253.2,260792,458855.76,,,
IPI00115765.3;IPI00885615.1,260208.18,458282.44,,,
IPI00880850.1;IPI00331322.3;IPI00880362.1;IPI00880219.1,260147.56,458222.88,18.12,14356.9293598234,25288.238410596
IPI00132973.1;IPI00648484.1,259465.17,457551.97,22.26,11656.1172506739,20554.8953279425
IPI00408495.1;IPI00462199.1;IPI00113869.1,258978.14,457072.66,189,1370.2547089947,2418.3738624339
IPI00118723.3;IPI00750734.1;IPI00751431.1;IPI00918669.1;IPI00857783.1;IPI00857646.1,258972.01,457066.63,43.78,5915.3040201005,10440.0783462768
IPI00129319.3,258945.92,457040.94,8.29,31235.9372738239,55131.5971049457
IPI00118447.1;IPI00757181.1;IPI00751607.1,258911.42,457006.97,8.16,31729.3406862745,56005.756127451
IPI00123005.2;IPI00762808.2;IPI00762287.1;IPI00919253.1,258857.68,456954.05,36.63,7066.8217308217,12474.858039858
IPI00313841.1,257933.34,456043.08,19.9,12961.4743718593,22916.7376884422
IPI00750671.1;IPI00315225.7,257550.1,455664.95,60.73,4240.9040013173,7503.1277786926
IPI00943994.1;IPI00381715.5,257458.16,455574.2,10.28,25044.5680933852,44316.5564202335
IPI00317701.2;IPI00123465.1;IPI00856675.1;IPI00857701.1;IPI00856821.1,257158.5,455278.33,30.72,8371.044921875,14820.2581380208
IPI00831051.1;IPI00831644.1;IPI00831557.1,256672.87,454798.5,,,
IPI00122383.1,255963.78,454097.17,31.96,8008.87922403,14208.2969336671
IPI00406790.6;IPI00828919.2;IPI00112584.3;IPI00858128.1;IPI00475044.3;IPI00858144.1;IPI00857865.1;IPI00459096.1;IPI00856305.1;IPI00754301.2;IPI00136199.1;IPI00749647.1,255847.07,453981.65,17.7,14454.6367231638,25648.6807909605
IPI00117300.3;IPI00649019.1,255722.44,453858.27,47.7,5361.057442348,9514.848427673
IPI00129466.1;IPI00111589.1;IPI00649286.1,255693.64,453829.76,23.84,10725.4043624161,19036.4832214765
IPI00938439.1;IPI00459744.1,254172.89,452322.03,35.2,7220.8207386364,12850.0576704545
IPI00776162.3;IPI00126006.6;IPI00817040.1,253767.24,451919.18,114.76,2211.2865109794,3937.9503311258
