ORF,protein2RNA
YER111C,589
YER112W,3440
YER113C,
YER114C,688
YER115C,
YER116C,
YER117W,
YER118C,2330
YER119C,
YER119C-A,
YER120W,3500
YER121W,
YER122C,1510
YER123W,1320
YER124C,3080
YER125W,
YER126C,8660
YER127W,1430
YER128W,967
YER129W,752
YER130C,
YER131W,503000
YER132C,815
YER133W,14600
YER134C,6190
YER135C,
YER136W,7280
YER137C,
YER139C,5480
YER140W,
YER141W,
YER142C,
YER143W,6510
YER144C,300
YER145C,8370
YER146W,
YER147C,907
YER148W,
YER149C,7820
YER150W,
YER151C,2210
YER152C,1390
YER153C,468
YER154W,6550
YER155C,1230
YER156C,6080
YER157W,4140
YER158C,784
YER159C,5130
YER161C,1240
YER162C,876
YER163C,1300
YER164W,1620
YER165W,198000
YER166W,
YER167W,
YER168C,13500
YER169W,2230
YER170W,704
YER171W,14400
YER172C,1440
YER173W,752
YER174C,7800
YER175C,937
YER176W,736
YER177W,158000
YER178W,100000
YER179W,
YER180C,
YER181C,
YER182W,1920
YER183C,468
YER184C,
YER185W,
YER186C,
YER187W,
YER187W-A,
YER188W,
YER189W,
YER190W,
YFL001W,5860
YFL002C,5740
YFL003C,
YFL004W,2910
YFL005W,
YFL006W,1500
YFL007W,2600
YFL008W,5710
YFL009W,
YFL010C,6020
YFL010W-A,
YFL011W,
YFL012W,
YFL013C,1390
YFL013W-A,
YFL014W,4490
YFL015C,
YFL016C,7570
YFL017C,2550
YFL017W-A,1400
YFL018C,24600
YFL019C,
YFL020C,
YFL021W,1180
YFL022C,
YFL023W,1300
YFL024C,1110
YFL025C,
YFL026W,
YFL027C,573
YFL028C,1620
YFL029C,
YFL030W,339
YFL031W,8970
YFL032W,
YFL033C,
YFL034C-A,74700
YFL034C-B,2250
YFL034W,1110
YFL036W,
YFL037W,
YFL038C,
YFL039C,
YFL040W,
YFL041W,2840
YFL042C,
YFL043C,
YFL044C,2770
YFL045C,3500
YFL046W,
YFL047W,1750
YFL048C,2900
YFL049W,3180
YFL050C,2130
YFL051C,
YFL052W,
YFL053W,
YFL054C,
YFL055W,
YFL056C,
YFL057C,
YFL058W,
YFL059W,
YFL060C,195
YFL061W,
YFL062W,
YFL063W,
YFL064C,
YFL065C,
YFL066C,
YFL067W,
YFL068W,
YFR001W,3650
YFR002W,15500
YFR003C,1080
YFR004W,16400
YFR005C,167
YFR006W,
YFR007W,161
YFR008W,486
YFR009W,14600
YFR010W,6770
YFR011C,3550
YFR012W,
YFR012W-A,
YFR013W,1770
YFR014C,1520
YFR015C,6300
YFR016C,704
YFR017C,639
YFR018C,3970
YFR019W,149
YFR020W,
YFR021W,1560
YFR022W,
YFR023W,
YFR024C,18000
YFR024C-A,3670
YFR025C,4280
YFR026C,721
YFR027W,
YFR028C,8550
YFR029W,
YFR030W,1580
YFR031C,3290
YFR031C-A,
YFR032C,
YFR032C-A,51100
YFR033C,4490
YFR034C,
YFR035C,
YFR036W,
YFR037C,3380
YFR038W,
YFR039C,3170
YFR040W,5960
YFR041C,
YFR042W,
YFR043C,
YFR044C,22300
YFR045W,
YFR046C,1300
YFR047C,2660
YFR048W,656
YFR049W,2050
YFR050C,16900
YFR051C,18000
YFR052W,9890
YFR053C,40800
YFR054C,300
YFR055W,2610
YFR056C,
YFR057W,
YGL001C,2580
YGL002W,
YGL003C,
YGL004C,2210
YGL005C,1360
YGL006W,98.9
YGL007W,
YGL008C,1260000
YGL009C,96300
YGL010W,486
YGL011C,15200
YGL012W,1640
YGL013C,1300
YGL014W,721
YGL015C,
YGL016W,9760
YGL017W,2030
YGL018C,2010
YGL019W,8120
YGL020C,2250
YGL021W,2190
YGL022W,3000
YGL023C,
YGL024W,
YGL025C,556
YGL026C,15500
YGL027C,2840
YGL028C,22600
YGL029W,2340
YGL030W,59300
YGL031C,247000
YGL032C,1160
YGL033W,
YGL034C,
YGL035C,830
YGL036W,486
YGL037C,7720
YGL038C,9490
YGL039W,2340
YGL040C,11600
YGL041C,
YGL042C,
YGL043W,6260
YGL044C,6350
YGL045W,784
YGL046W,3040
YGL047W,1950
YGL048C,4700
YGL049C,3390
YGL050W,3390
YGL051W,
YGL052W,
YGL053W,1250
YGL054C,7110
YGL055W,
YGL056C,21200
YGL057C,
YGL058W,2770
YGL059W,450
YGL060W,3870
YGL061C,996
YGL062W,12500
YGL063W,
YGL064C,736
YGL065C,1840
YGL066W,486
YGL067W,846
YGL068W,6940
YGL069C,
YGL070C,2440
YGL071W,2730
YGL072C,
YGL073W,
YGL074C,
YGL075C,
YGL076C,101000
YGL077C,
YGL078C,38900
YGL079W,1630
YGL080W,396
YGL081W,
YGL082W,7620
YGL083W,1480
YGL084C,672
YGL085W,704
YGL086W,656
YGL087C,2760
YGL088W,
YGL089C,
YGL090W,876
YGL091C,
YGL092W,4630
YGL093W,
YGL094C,1510
YGL095C,5660
YGL096W,
YGL097W,12100
YGL098W,937
YGL099W,19400
YGL100W,952
YGL101W,1500
YGL102C,
YGL103W,
YGL104C,
YGL105W,57700
YGL106W,
YGL107C,4800
YGL108C,2430
YGL109W,
YGL110C,6300
YGL111W,2740
YGL112C,6510
YGL113W,125
YGL114W,
YGL115W,11700
YGL116W,
YGL117W,149
YGL118C,
YGL119W,952
YGL120C,16900
YGL121C,
YGL122C,9670
YGL123W,
YGL124C,
YGL125W,8600
YGL126W,538
YGL127C,468
YGL128C,
YGL129C,1300
YGL130W,279
YGL131C,
YGL132W,
YGL133W,2610
YGL134W,217
YGL135W,265000
YGL136C,
YGL137W,129000
YGL138C,
YGL139W,
YGL140C,1080
YGL141W,3120
YGL142C,
YGL143C,414
YGL144C,
YGL145W,6020
YGL146C,
YGL147C,52400
YGL148W,2310
YGL149W,
YGL150C,6280
YGL151W,2490
YGL152C,
YGL153W,2570
YGL154C,623
YGL155W,3940
YGL156W,319
YGL157W,2950
YGL158W,
YGL159W,172
YGL160W,
YGL161C,937
YGL162W,1100
YGL163C,
YGL164C,3670
YGL165C,
YGL166W,1760
YGL167C,6900
YGL168W,
YGL169W,538
YGL170C,
YGL171W,
YGL172W,4760
YGL173C,11700
YGL174W,
YGL175C,1030
YGL176C,
YGL177W,
YGL178W,1240
YGL179C,
YGL180W,1070
YGL181W,937
YGL182C,
YGL183C,
YGL184C,
YGL185C,1430
YGL186C,
YGL187C,9410
YGL188C,
YGL189C,16300
YGL190C,8600
YGL191W,
YGL192W,
YGL193C,
YGL194C,4890
YGL195W,7330
YGL196W,
YGL197W,396
YGL198W,
YGL199C,
YGL200C,26800
YGL201C,13400
YGL202W,1770
YGL203C,8550
YGL204C,
YGL205W,
YGL206C,28700
YGL207W,18500
YGL208W,300
YGL209W,504
YGL210W,4300
YGL211W,
YGL212W,2360
YGL213C,1710
YGL214W,
YGL215W,
YGL216W,736
YGL217C,
YGL218W,
YGL219C,377
YGL220W,2050
YGL221C,6000
YGL222C,
YGL223C,2190
YGL224C,
YGL225W,31900
YGL226C-A,1010
YGL226W,1170
YGL227W,1500
YGL228W,8640
YGL229C,279
YGL230C,
YGL231C,1320
YGL232W,2630
YGL233W,4280
YGL234W,35800
YGL235W,
YGL236C,
YGL237C,
YGL238W,23500
YGL239C,
YGL240W,1360
YGL241W,2940
YGL242C,
YGL243W,
YGL244W,6510
YGL245W,48700
YGL246C,4030
YGL247W,125
YGL248W,1400
YGL249W,
YGL250W,1820
YGL251C,
YGL252C,3260
YGL253W,114000
YGL254W,2120
YGL255W,
YGL256W,125
YGL257C,1170
YGL258W,
YGL258W-A,
YGL259W,
YGL260W,
YGL261C,
YGL262W,
YGL263W,
YGR001C,3060
YGR002C,2230
YGR003W,172
YGR004W,238
YGR005C,520
YGR006W,
YGR007W,4700
YGR008C,5330
YGR009C,
YGR010W,1430
YGR011W,
YGR012W,4650
YGR013W,782
YGR014W,1320
YGR015C,
YGR016W,238
YGR017W,2840
YGR018C,
YGR019W,573
YGR020C,4050
YGR021W,1780
YGR022C,
YGR023W,
YGR024C,1170
YGR025W,
YGR026W,
YGR027C,322000
YGR028W,3530
YGR029W,
YGR030C,3180
YGR031W,7400
YGR032W,
YGR033C,3770
YGR034W,33200
YGR035C,
YGR036C,
YGR037C,8500
YGR038W,2800
YGR039W,
YGR040W,5480
YGR041W,952
YGR042W,
YGR043C,1920
YGR044C,
YGR045C,
YGR046W,195
YGR047C,876
YGR048W,3530
YGR049W,3210
YGR050C,
YGR051C,
YGR052W,339
YGR053C,
YGR054W,
YGR055W,
YGR056W,259
YGR057C,656
YGR058W,1630
YGR059W,
YGR060W,77100
YGR061C,40800
YGR062C,468
YGR063C,4490
YGR064W,
YGR065C,
YGR066C,
YGR067C,
YGR068C,1970
YGR069W,
YGR070W,
YGR071C,1050
YGR072W,1250
YGR073C,
YGR074W,2400
YGR075C,2380
YGR076C,1550
YGR077C,538
YGR078C,6550
YGR079W,
YGR080W,1470
YGR081C,3670
YGR082W,5680
YGR083C,10300
YGR084C,16000
YGR085C,21200
YGR086C,115000
YGR087C,1520
YGR088W,319
YGR089W,996
YGR090W,3260
YGR091W,1260
YGR092W,3500
YGR093W,1270
YGR094W,358
YGR095C,10800
YGR096W,
YGR097W,
YGR098C,
YGR099W,638
YGR100W,768
YGR101W,
YGR102C,172
YGR103W,4530
YGR104C,1010
YGR105W,1480
YGR106C,12800
YGR107W,
YGR108W,300
YGR109C,
YGR110W,
YGR111W,768
YGR112W,623
YGR113W,
YGR114C,
YGR115C,
YGR116W,8890
YGR117C,1280
YGR118W,10600
YGR119C,9310
YGR120C,3270
YGR121C,
YGR122C-A,
YGR122W,
YGR123C,6990
YGR124W,58200
YGR125W,1420
YGR126W,
YGR127W,
YGR128C,16800
YGR129W,2460
YGR130C,10300
YGR131W,
YGR132C,9690
YGR133W,
YGR134W,1320
YGR135W,17100
YGR136W,
YGR137W,
YGR138C,
YGR139W,
YGR140W,1350
YGR141W,623
YGR142W,
YGR143W,468
YGR144W,
YGR145W,
YGR146C,589
YGR147C,1240
YGR148C,36900
YGR149W,
YGR150C,876
YGR151C,
YGR152C,
YGR153W,
YGR154C,
YGR155W,41900
YGR156W,937
YGR157W,1810
YGR158C,7380
YGR159C,77400
YGR160W,
YGR161C,2100
YGR162W,9760
YGR163W,2610
YGR164W,
YGR165W,3460
YGR166W,1660
YGR167W,3490
YGR168C,
YGR169C,377
YGR170W,
YGR171C,3120
YGR172C,
YGR173W,6200
YGR174C,704
YGR175C,65400
YGR176W,
YGR177C,3000
YGR178C,2870
YGR179C,2690
YGR180C,88900
YGR181W,
YGR182C,
YGR183C,4550
YGR184C,
YGR185C,2710
YGR186W,1920
YGR187C,20800
YGR188C,414
YGR189C,29500
YGR190C,
YGR191W,688
YGR192C,169000
YGR193C,414
YGR194C,3460
YGR195W,5150
YGR196C,
YGR197C,
YGR198W,1640
YGR199W,
YGR200C,6090
YGR201C,
YGR202C,3050
YGR203W,2310
YGR204W,35600
YGR205W,4280
YGR206W,752
YGR207C,2400
YGR208W,13800
YGR209C,17200
YGR210C,11600
YGR211W,39900
YGR212W,
YGR213C,
YGR214W,93700
YGR215W,
YGR216C,
YGR217W,
YGR218W,7080
YGR219W,
YGR220C,3190
YGR221C,56.9
YGR222W,799
YGR223C,
YGR224W,
YGR225W,
YGR226C,
YGR227W,
YGR228W,
YGR229C,5680
YGR230W,
YGR231C,2850
YGR232W,319
YGR233C,2930
YGR234W,13000
YGR235C,5220
YGR236C,
YGR237C,1050
YGR238C,468
YGR239C,
YGR240C,89800
YGR241C,6800
YGR242W,
YGR243W,6750
YGR244C,
YGR245C,3640
YGR246C,4330
YGR247W,1520
YGR248W,4320
YGR249W,
YGR250C,1910
YGR251W,1460
YGR252W,1180
YGR253C,17100
YGR254W,76700
YGR255C,2940
YGR256W,556
YGR257C,538
YGR258C,846
YGR259C,
YGR260W,
YGR261C,3570
YGR262C,3020
YGR263C,
YGR264C,85000
YGR265W,
YGR266W,3230
YGR267C,2840
YGR268C,
YGR269W,279
YGR270W,172
YGR271C-A,2840
YGR271W,486
YGR272C,
YGR273C,
YGR274C,1500
YGR275W,1550
YGR276C,
YGR277C,3610
YGR278W,3260
YGR279C,6190
YGR280C,3850
YGR281W,3610
YGR282C,45000
YGR283C,2820
YGR284C,
YGR285C,86400
YGR286C,504
YGR287C,752
YGR288W,
YGR289C,
YGR290W,
YGR291C,
YGR292W,5060
YGR293C,
YGR294W,
YGR295C,
YGR296W,
YHL001W,35100
YHL002W,358
YHL003C,
YHL004W,6890
YHL005C,
YHL006C,
YHL007C,259
YHL008C,
YHL009C,1680
YHL010C,
YHL011C,
YHL012W,
YHL013C,172
YHL014C,2360
YHL015W,
YHL016C,
YHL017W,14600
YHL018W,752
YHL019C,2890
YHL020C,1280
YHL021C,5800
YHL022C,
YHL023C,
YHL024W,
YHL025W,2900
YHL026C,830
YHL027W,1820
YHL028W,
YHL029C,12500
YHL030W,2950
YHL031C,
YHL032C,
YHL033C,238000
YHL034C,12800
YHL035C,
YHL036W,
YHL037C,
YHL038C,1360
YHL039W,5170
YHL040C,
YHL041W,
YHL042W,
YHL043W,
YHL044W,
YHL045W,
YHL046C,
YHL047C,
YHL048W,3070
YHL049C,
YHL050C,
YHR001W,2350
YHR001W-A,5590
YHR002W,
YHR003C,8430
YHR004C,377
YHR005C,9920
YHR005C-A,
YHR006W,6490
YHR007C,73200
YHR008C,10900
YHR009C,5240
YHR010W,7380
YHR011W,405
YHR012W,259
YHR013C,3310
YHR014W,
YHR015W,98.9
YHR016C,
YHR017W,
YHR018C,10200
YHR019C,
YHR020W,
YHR021C,
YHR021W-A,
YHR022C,
YHR023W,2140
YHR024C,31400
YHR025W,92600
YHR026W,
YHR027C,306000
YHR028C,
YHR029C,
YHR030C,3230
YHR031C,656
YHR032W,
YHR033W,
YHR034C,2610
YHR035W,450
YHR036W,1280
YHR037W,17200
YHR038W,1440
YHR039C,2500
YHR039C-A,2280
YHR040W,2800
YHR041C,1720
YHR042W,46600
YHR043C,2400
YHR044C,752
YHR045W,
YHR046C,2440
YHR047C,77000
YHR048W,
YHR049C-A,
YHR049W,14600
YHR050W,
YHR051W,12500
YHR052W,45900
YHR053C,31900
YHR054C,
YHR055C,6680
YHR056C,
YHR057C,339
YHR058C,4820
YHR059W,2630
YHR060W,752
YHR061C,1100
YHR062C,6300
YHR063C,2600
YHR064C,73600
YHR065C,
YHR066W,8150
YHR067W,799
YHR068W,7600
YHR069C,4840
YHR070W,4120
YHR071W,
YHR072W,2190
YHR072W-A,
YHR073W,589
YHR074W,172
YHR075C,
YHR076W,
YHR077C,1280
YHR078W,
YHR079C,259
YHR079C-A,
YHR080C,
YHR081W,
YHR082C,1270
YHR083W,1470
YHR084W,1920
YHR085W,4420
YHR086W,1480
YHR087W,2430
YHR088W,784
YHR089C,5730
YHR090C,
YHR091C,
YHR092C,
YHR093W,
YHR094C,23300
YHR095W,
YHR096C,
YHR097C,
YHR098C,12200
YHR099W,
YHR100C,
YHR101C,3460
YHR102W,1040
YHR103W,
YHR104W,12900
YHR105W,
YHR106W,414
YHR107C,1170
YHR108W,2270
YHR109W,2940
YHR110W,
YHR111W,2620
YHR112C,1360
YHR113W,172
YHR114W,5440
YHR115C,2790
YHR116W,1360
YHR117W,4110
YHR118C,2970
YHR119W,172
YHR120W,1670
YHR121W,8320
YHR122W,1800
YHR123W,
YHR124W,
YHR125W,
YHR126C,
YHR127W,2140
YHR128W,
YHR129C,1580
YHR130C,
YHR131C,172
YHR132C,468
YHR132W-A,1400
YHR133C,1900
YHR134W,
YHR135C,1630
YHR136C,2180
YHR137W,7700
YHR138C,319
YHR139C,
YHR139C-A,
YHR140W,
YHR141C,3890
YHR142W,
YHR143W,
YHR143W-A,907
YHR144C,1510
YHR145C,
YHR146W,2990
YHR147C,5680
YHR148W,
YHR149C,1550
YHR150W,
YHR151C,
YHR152W,937
YHR153C,
YHR154W,1380
YHR155W,1170
YHR156C,799
YHR157W,
YHR158C,1350
YHR159W,504
YHR160C,
YHR161C,623
YHR162W,3410
YHR163W,3420
YHR164C,
YHR165C,468
YHR166C,79.7
YHR167W,2840
YHR168W,189
YHR169W,3500
YHR170W,11900
YHR171W,
YHR172W,2230
YHR173C,149
YHR174W,2610
YHR175W,
YHR176W,
YHR177W,
YHR178W,279
YHR179W,15100
YHR180W,
YHR181W,1810
YHR182W,1720
YHR183W,101000
YHR184W,
YHR185C,
YHR186C,
YHR187W,3870
YHR188C,1680
YHR189W,339
YHR190W,10800
YHR191C,
YHR192W,3390
YHR193C,38000
YHR194W,1200
YHR195W,1900
YHR196W,20000
YHR197W,7820
YHR198C,1350
YHR199C,4420
YHR200W,17200
YHR201C,3170
YHR202W,
YHR203C,102000
YHR204W,656
YHR205W,3850
YHR206W,2570
YHR207C,5000
YHR208W,87300
YHR209W,4380
YHR210C,
YHR211W,
YHR212C,
YHR213W,
YHR214W,
YHR214W-A,
YHR215W,3290
YHR216W,7870
YHR217C,
YHR218W,
YHR219W,
YIL001W,195
YIL002C,98.9
YIL003W,
YIL004C,
YIL005W,6020
YIL006W,
YIL007C,846
YIL008W,1240
YIL009C-A,
YIL009W,6440
YIL010W,1840
YIL011W,
YIL012W,
YIL013C,
YIL014W,2310
YIL015C-A,
YIL015W,672
YIL016W,3350
YIL017C,
YIL018W,4050
YIL019W,
YIL020C,6490
YIL021W,10000
YIL022W,
YIL023C,
YIL024C,1540
YIL025C,
YIL026C,4090
YIL027C,5240
YIL028W,
YIL029C,
YIL030C,
YIL031W,450
YIL032C,
YIL033C,4280
YIL034C,6770
YIL035C,7180
YIL036W,1240
YIL037C,
YIL038C,2490
YIL039W,1070
YIL040W,
YIL041W,7720
YIL042C,4220
YIL043C,4820
YIL044C,5350
YIL045W,996
YIL046W,217
YIL047C,1160
YIL048W,
YIL049W,
YIL050W,3390
YIL051C,168000
YIL052C,21000
YIL053W,193000
YIL054W,521
YIL055C,
YIL056W,279
YIL057C,5530
YIL058W,
YIL059C,
YIL060W,
YIL061C,736
YIL062C,3060
YIL063C,3620
YIL064W,1620
YIL065C,2410
YIL066C,1360
YIL067C,
YIL068C,1080
YIL069C,6160
YIL070C,4910
YIL071C,504
YIL072W,
YIL073C,
YIL074C,2010
YIL075C,4750
YIL076W,23100
YIL077C,922
YIL078W,42600
YIL079C,1550
YIL083C,3170
YIL084C,105
YIL085C,2890
YIL086C,
YIL087C,
YIL088C,195
YIL089W,
YIL090W,606
YIL091C,172
YIL092W,105
YIL093C,1920
YIL094C,19100
YIL095W,1320
YIL096C,2960
YIL097W,784
YIL098C,589
YIL099W,
YIL100W,
YIL101C,195
YIL102C,
YIL103W,2530
YIL104C,7060
YIL105C,5190
YIL106W,5020
YIL107C,1710
YIL108W,195
YIL109C,
YIL110W,
YIL111W,2250
YIL112W,
YIL113W,
YIL114C,
YIL115C,1230
YIL116W,
YIL117C,
YIL118W,5910
YIL119C,1340
YIL120W,
YIL121W,
YIL122W,736
YIL123W,1800
YIL124W,3670
YIL125W,14300
YIL126W,1990
YIL127C,3670
YIL128W,3150
YIL129C,206
YIL130W,396
YIL131C,1720
YIL132C,414
YIL133C,43300
YIL134W,
YIL135C,2180
YIL136W,6490
YIL137C,5110
YIL138C,11100
YIL139C,
YIL140W,396
YIL141W,
YIL142W,
YIL143C,825
YIL144W,1160
YIL145C,2400
YIL146C,
YIL147C,656
YIL148W,11800
YIL149C,2770
YIL150C,1860
YIL151C,504
YIL152W,
YIL153W,4590
YIL154C,5110
YIL155C,1670
YIL156W,606
YIL157C,1680
YIL158W,
YIL159W,259
YIL160C,
YIL161W,1230
YIL162W,1780
YIL163C,
YIL164C,
YIL165C,
YIL166C,
YIL167W,
YIL168W,
YIL169C,
YIL170W,
YIL171W,
YIL172C,166
YIL173W,319
YIL174W,
YIL175W,
YIL176C,
YIL177C,
YIR001C,6490
YIR002C,
YIR003W,450
YIR004W,8970
YIR005W,922
YIR006C,
YIR007W,1070
YIR008C,197
YIR009W,504
YIR010W,1310
YIR011C,2120
YIR012W,19700
YIR013C,
YIR014W,
YIR015W,2070
YIR016W,
YIR017C,
YIR018W,238
YIR019C,
YIR020C,
YIR020W-B,
YIR021W,5240
YIR022W,3150
YIR023W,704
YIR024C,589
YIR025W,
YIR026C,7570
YIR027C,
YIR028W,
YIR029W,
YIR030C,
YIR031C,
YIR032C,
YIR033W,300
YIR034C,112000
YIR035C,2370
YIR036C,1620
YIR037W,8120
YIR038C,
YIR039C,
YIR040C,
YIR041W,
YIR042C,
YIR043C,
YIR044C,
YJL001W,7250
YJL002C,11900
YJL003W,672
YJL004C,238
YJL005W,
YJL006C,1590
YJL007C,
YJL008C,
YJL009W,
YJL010C,2930
YJL011C,2930
YJL012C,
YJL012C-A,8710
YJL013C,3170
YJL014W,
YJL015C,
YJL016W,3360
YJL017W,172
YJL018W,4510
YJL019W,
YJL020C,
YJL021C,2610
YJL022W,
YJL023C,721
YJL024C,1240
YJL025W,398
YJL026W,538
YJL027C,
YJL028W,
YJL029C,
YJL030W,1110
YJL031C,
YJL032W,
YJL033W,7900
YJL034W,337000
YJL035C,830
YJL036W,450
YJL037W,
YJL038C,
YJL039C,2520
YJL041W,2400
YJL042W,279
YJL043W,
YJL044C,2990
YJL045W,
YJL046W,
YJL047C,
YJL048C,1340
YJL049W,2530
YJL050W,12500
YJL051W,
YJL052C-A,
YJL052W,120000
YJL053W,
YJL054W,
YJL055W,6440
YJL056C,
YJL057C,892
YJL058C,1960
YJL059W,
YJL060W,1600
YJL061W,9470
YJL062W,259
YJL062W-A,2530
YJL063C,3030
YJL064W,
YJL065C,3390
YJL066C,3390
YJL067W,
YJL068C,1750
YJL069C,9570
YJL070C,1100
YJL071W,112
YJL072C,
YJL073W,3180
YJL074C,2660
YJL075C,
YJL076W,1590
YJL077C,
YJL078C,
YJL079C,556
YJL080C,
YJL081C,1070
YJL082W,4980
YJL083W,396
YJL084C,49.2
YJL085W,4280
YJL086C,
YJL087C,3110
YJL088W,1140
YJL089W,
YJL090C,540
YJL091C,
YJL092W,5190
YJL093C,
YJL094C,172
YJL095W,112
YJL096W,1840
YJL097W,
YJL098W,11200
YJL099W,1180
YJL100W,56.9
YJL101C,5130
YJL102W,1730
YJL103C,
YJL104W,3180
YJL105W,
YJL106W,
YJL107C,1480
YJL108C,
YJL109C,18200
YJL110C,319
YJL111W,
YJL112W,3730
YJL115W,6230
YJL116C,
YJL117W,
YJL118W,
YJL119C,
YJL120W,
YJL121C,3310
YJL122W,4780
YJL123C,2160
YJL124C,3490
YJL125C,7220
YJL126W,
YJL127C,1500
YJL127W-A,
YJL128C,2160
YJL129C,
YJL130C,11000
YJL131C,319
YJL132W,
YJL133W,1360
YJL134W,
YJL135W,
YJL136C,15300
YJL137C,981
YJL138C,
YJL139C,6400
YJL140W,
YJL141C,
YJL142C,
YJL143W,1210
YJL144W,149
YJL145W,6540
YJL146W,1850
YJL147C,981
YJL148W,3360
YJL149W,195
YJL150W,
YJL151C,12500
YJL152W,
YJL153C,
YJL154C,2360
YJL155C,1680
YJL156C,
YJL156W-A,
YJL157C,238
YJL158C,12500
YJL159W,14600
YJL160C,
YJL161W,
YJL162C,184
YJL163C,
YJL164C,4320
YJL165C,
YJL166W,6140
YJL167W,
YJL168C,217
YJL169W,
YJL170C,
YJL171C,5530
YJL172W,721
YJL173C,4280
YJL174W,
YJL175W,
YJL176C,3150
YJL177W,21100
YJL178C,8970
YJL179W,721
YJL180C,6370
YJL181W,
YJL182C,
YJL183W,3480
YJL184W,2180
YJL185C,
YJL186W,11400
YJL187C,
YJL188C,
YJL189W,
YJL190C,40400
YJL191W,3370
YJL192C,11700
YJL193W,
YJL194W,
YJL195C,
YJL196C,937
YJL197W,7110
YJL198W,3430
YJL199C,
YJL200C,4670
YJL201W,1750
YJL202C,
YJL203W,2490
YJL204C,2700
YJL205C-A,
YJL206C,
YJL207C,300
YJL208C,3870
YJL209W,2180
YJL210W,339
YJL211C,
YJL212C,2870
YJL213W,
YJL214W,623
YJL215C,
YJL216C,
YJL217W,721
YJL218W,
YJL219W,
YJL220W,
YJL221C,
YJL222W,279
YJL223C,
YJL225C,
YJR001W,1820
YJR002W,
YJR003C,3280
YJR004C,
YJR005W,1670
YJR006W,626
YJR007W,17100
YJR008W,339
YJR009C,121000
YJR010C-A,5550
YJR010W,1510
YJR011C,2560
YJR012C,538
YJR013W,
YJR014W,21600
YJR015W,639
YJR016C,171000
YJR017C,4400
YJR018W,
YJR019C,
YJR020W,
YJR021C,
YJR022W,1440
YJR023C,
YJR024C,952
YJR025C,2330
YJR030C,
YJR031C,2940
YJR032W,3230
YJR033C,149
YJR034W,
YJR035W,
YJR036C,
YJR037W,
YJR038C,
YJR039W,
YJR040W,
YJR041C,1660
YJR042W,7920
YJR043C,2410
YJR044C,2340
YJR045C,
YJR046W,2190
YJR047C,14200
YJR048W,7330
YJR049C,5040
YJR050W,1990
YJR051W,432
YJR052W,937
YJR053W,1380
YJR054W,538
YJR055W,2730
YJR056C,1890
YJR057W,2980
YJR058C,1390
YJR059W,1420
YJR060W,6890
YJR061W,
YJR062C,1640
YJR063W,8450
YJR064W,
YJR065C,6650
YJR066W,589
YJR067C,1500
YJR068W,4610
YJR069C,3490
YJR070C,39900
YJR071W,
YJR072C,15200
YJR073C,5890
YJR074W,2840
YJR075W,7160
YJR076C,9280
YJR077C,
YJR078W,149
YJR079W,907
YJR080C,2290
YJR082C,504
YJR083C,1140
YJR084W,1510
YJR085C,2100
YJR086W,5550
YJR087W,
YJR088C,5740
YJR089W,
YJR090C,
YJR091C,784
YJR092W,1600
YJR093C,1310
YJR094C,
YJR094W-A,45500
YJR095W,
YJR096W,6960
YJR097W,2010
YJR098C,1230
YJR099W,
YJR100C,
YJR101W,2060
YJR102C,
YJR103W,5370
YJR104C,519000
YJR105W,22200
YJR106W,
YJR107W,
YJR108W,
YJR109C,18000
YJR110W,1080
YJR111C,1890
YJR112W,2070
YJR113C,1340
YJR114W,
YJR115W,
YJR116W,
YJR117W,19600
YJR118C,1160
YJR119C,290
YJR120W,
YJR121W,164000
YJR122W,2960
YJR123W,
YJR124C,
YJR125C,
YJR126C,112
YJR127C,
YJR128W,
YJR129C,1550
YJR130C,2070
YJR131W,8260
YJR132W,13500
YJR133W,721
YJR134C,300
YJR135C,1030
YJR135W-A,
YJR136C,1470
YJR137C,2900
YJR138W,279
YJR139C,48900
YJR140C,922
YJR141W,
YJR142W,217
YJR143C,1270
YJR144W,
YJR145C,573
YJR146W,952
YJR147W,2050
YJR148W,25900
YJR149W,172
YJR150C,
YJR151C,
YJR152W,
YJR153W,
YJR154W,1600
YJR155W,
YJR156C,752
YJR157W,
YJR158W,
YJR159W,
YJR160C,
YJR161C,815
YJR162C,
YKL001C,2170
YKL002W,
YKL003C,
YKL003W-A,
YKL004W,4170
YKL005C,892
YKL006C-A,
YKL006W,45300
YKL007W,4380
YKL008C,2840
YKL009W,18200
YKL010C,7380
YKL011C,
YKL012W,
YKL013C,9020
YKL014C,5890
YKL015W,736
YKL016C,6820
YKL017C,1040
YKL018C-A,358
YKL018W,704
YKL019W,396
YKL020C,432
YKL021C,3730
YKL022C,2750
YKL023W,1730
YKL024C,1500
YKL025C,1600
YKL026C,
YKL027W,1170
YKL028W,35900
YKL029C,10500
YKL030W,
YKL031W,
YKL032C,
YKL033W,721
YKL033W-A,
YKL034W,
YKL035W,17200
YKL036C,
YKL037W,
YKL038W,195
YKL039W,
YKL040C,11300
YKL041W,1890
YKL042W,
YKL043W,1420
YKL044W,
YKL045W,
YKL046C,2580
YKL047W,2550
YKL048C,149
YKL049C,
YKL050C,
YKL051W,
YKL052C,2840
YKL053C-A,3870
YKL053W,
YKL054C,3380
YKL055C,1760
YKL056C,27800
YKL057C,
YKL058W,3910
YKL059C,1130
YKL060C,1020000
YKL061W,1240
