ORF,Mean_Protein,Mean_RNAseq,protein2RNA
hsdM,13.165,0.024229075,543.3554520757
mrr,4.264,0.016958425,251.4384443131
yjiA,26.227,0.02039749,1285.7954581667
yjiY,134.859,0.005581395,24162.2390101399
dnaT,15.416,0.014842301,1038.6529689703
fhuF,21.407,0.053299492,401.6360981452
holD,10.181,0.052058111,195.5699084049
prfC,33.96,0.097860289,347.0253393591
osmY,15.707,0.804132231,19.5328571527
yjjU,6.447,0.046598322,138.3526213669
yjjV,7.973,0.050706033,157.2396720524
yjjI,3.044,0.002580645,1179.5500737219
deoB,186.799,0.150040883,1244.9873412169
deoD,375.177,0.26286509,1427.2606529836
lplA,8.557,0.008366142,1022.8131437406
smp,6.357,,
rob,0.273,0.154775604,1.7638438678
glcF,1.413,0.013491415,104.7332692679
