ORF,Mean_Protein,Mean_RNAseq,protein2RNA
manX,57.951,0.20700309,279.9523427404
manY,197.264,0.17625,1119.2283687943
cspC,7890.539,6.578947368,1199.3619280768
htpX,22.639,0.209988649,107.8105893238
yebJ,166.482,,
yebE,13.232,0.043247344,305.9609857197
yebG,75.599,0.065517241,1153.8794803646
edd,16.906,0.053561568,315.636764032
zwf,113.158,0.161016949,702.7707375079
pykA,118.856,0.127947295,928.9450003613
lpxM,24.963,0.060247168,414.3431272985
yebM,8.029,,
yebB,0.557,0,
ruvC,4.108,0.107485605,38.2190712887
yebC,162.088,0.232432432,697.3553501346
aspS,182.294,0.136286682,1337.5775044549
yecM,9.311,0.020318021,458.2631349776
cheY,11.765,0.010282776,1144.146288901
tar,0.334,0.000602047,554.7739628301
cheW,0.437,0,
flhC,1.058,0.061418685,17.226028203
flhD,8.244,0.125348189,65.7688002178
otsA,43.825,0.110955056,394.9797474754
pgsA,25.135,0.028284672,888.6438562908
uvrC,9.982,0.050491266,197.6975582272
uvrY,29.111,0.138719512,209.8551211743
sdiA,11.684,0.023545706,496.226360764
yecC,9.903,0.029920213,330.9802640777
yedO,19.701,0.024340771,809.3827430528
fliY,4.901,0.2625,18.6704761905
fliN,0.153,0.004842615,31.594500079
yedJ,1.016,0.056115108,18.1056409978
yedU,31.362,,
yedV,3.461,0.009204713,376.0030323596
yedW,1.456,0.030551416,47.6573655375
b1983,47.252,,
cobT,6.713,0.024559778,273.3330895743
flu,2.273,0.189804424,11.9754848285
yeeR,1.753,0.022193211,78.9881193848
yeeX,269.523,0.418987342,643.2724165686
sbcB,3.146,0.02067274,152.1810848489
hisC,20.736,0.041121495,504.261822193
hisI,0.714,0.081833061,8.7250799527
gnd,0.504,0.81970128,0.6148581347
wbbK,64.301,0.033989267,1891.8030800723
glf,192.91,0.164551224,1172.3401097278
rfbD,50.046,0.107341491,466.2316456923
galF,231.012,0.357782755,645.6767319599
yegH,6.66,0.008528111,780.946683269
asmA,1.707,0.047220723,36.1493829732
dcd,79.14,0.123063683,643.0816799136
yegE,2.345,0.014470907,162.0492758332
alkA,2.002,0.01120283,178.704845115
b2073,0.192,,
b2074,1.805,,
baeR,12.299,0.017313019,710.3902560264
b2085,1.023,,
gatB,26.326,0.271126761,97.0984933501
gatA,38.544,0.2125,181.3835294118
gatZ,289.881,0.39659271,730.9287152555
gatY,58.535,0.464871194,125.916599599
b2097,4.555,,
yegU,0.621,0.008466135,73.3510627931
metG,79.581,0.092228234,862.8702572793
yehL,1.142,0.000459559,2484.9910457634
mlrA,13.345,0.045143639,295.6119687206
pbpG,1.067,0.020386266,52.3391581371
yohF,18.245,0.022996058,793.3968508864
yohI,0.114,,
yeiA,11.173,0.002834008,3942.4729923134
cirA,0.378,0.014565545,25.9516550874
nfo,15.691,0.037922987,413.7596017951
fruK,40.817,0.04424307,922.5625617752
yeiP,113.635,0.068181818,1666.6466711111
rtn,9.522,0.012532134,759.8067495927
rsuA,28.718,0.054676259,525.237105194
yejH,0.844,0.005113636,165.0489006257
yejL,94.827,0.072687225,1304.5896304337
napD,1.045,0,
yojL,1.135,0.009478673,119.7424998204
ompC,0.824,6.457388939,0.1276057564
yojN,13.419,,
rcsB,368.665,0.331538462,1111.9825970599
rcsC,8.874,0.030748663,288.5979139971
gyrA,68.835,0.241910925,284.5468843542
ubiG,18.473,0.083795014,220.4546442346
nrdA,251.1,0.061706783,4069.2447052377
glpC,0.663,0.00210084,315.5880504941
b2248,0.444,,
yfaO,2.982,0.009411765,316.8374900988
b2255,8.168,,
menC,3.981,0.085758836,46.4208725967
menB,22.182,0.089848308,246.8827793619
menD,9.335,0.018562874,502.8854906843
elaB,390.765,2.904918033,134.518425498
elaA,2.175,0.122559653,17.7464601666
nuoG,39.583,0.229685212,172.3358663596
nuoF,9.227,0.249813014,36.9356257797
nuoE,70.378,0.359,196.0389972145
nuoC,32.453,0.216981132,149.566000052
nuoB,46.786,0.395015106,118.4410400751
nuoA,109.877,0.261851016,419.6164738196
b2290,25.141,,
yfbT,0.806,0.083076923,9.7018518608
ackA,201.673,0.111064892,1815.8123270853
pta,62.472,0.06926306,901.9526425774
b2299,38.871,,
yfcE,41.285,0.09566787,431.5450945025
yfcF,36.765,0.034937888,1052.2960059864
hisJ,2.428,0.061381074,39.5561667754
argT,1.631,0.130434783,12.5043332958
ubiX,36.02,0.014059754,2561.9224916738
dedD,0.69,0.068731118,10.0391208535
folC,15.213,0.044952681,338.4225292369
truA,5.627,0.079433498,70.83913137
fabB,162.983,0.21147541,770.6948056041
b2341,2.199,,
intC,3.601,,
dsdA,1.887,0.00753012,250.593616038
evgS,5.08,0.018369051,276.5521201939
oxc,2.869,0.002066116,1388.5958000422
b2384,0.918,,
b2385,0.062,,
yfeR,2.465,0.004319654,570.6475564941
lig,22.029,,
cysM,10.097,0.035675082,283.0266795182
ucpA,8.279,0.031605563,261.9475565109
yfeU,4.785,0.004464286,1071.8399314023
hemF,12.758,0.0189099,674.6730548549
eutB,6.341,0.037472447,169.217665449
b2443,0.177,,
eutI,0.168,0,
b2459,0.707,,
b2463,46.601,,
tktB,77.395,0.163504743,473.3501828751
yffH,14.4,0.03826087,376.3636320868
ypfI,2.615,0.0191067,136.8629852355
dapA,1.106,0.328018223,3.3717638913
b2496,12.201,,
ppk,27.721,0.047192643,587.4008794125
guaA,335.577,0.24857324,1350.0125757704
b2511,23.971,,
hisS,75.695,0.175824176,430.5153120695
gcpE,39.344,,
yfgA,12.797,0.08242843,155.2498330976
yfgB,27.658,0.089688042,308.3800179293
ndk,178.237,0.339907193,524.3696034405
b2520,0.716,,
pepB,49.951,0.11847233,421.6258766921
b2529,462.18,,
b2530,826.119,,
yphE,1.44,0.00198544,725.2800386816
glyA,1640.447,1.004389465,1633.2777843304
glnB,83.224,0.213017751,390.6904453235
yfhA,9.277,0.022113943,419.5090852861
purL,39.44,0.112940571,349.2102054274
yfhC,10.129,,
acpS,11.815,0.064473684,183.2530618229
recO,0.286,0.039148352,7.305543794
era,0.779,0.14640884,5.3207169731
rnc,69.417,0.183088235,379.14506085
lepA,64.087,0.094774875,676.2024217916
yfiD,119.553,0.186684073,640.402783584
ung,14.487,0.029027576,499.0771533937
yfiF,17.936,0.066055931,271.5274726807
yfiQ,11.377,0.02424812,469.1910135714
pssA,94.049,0.117343173,801.4867639552
clpB,115.102,0.093082005,1236.5655423946
sfhB,21.145,,
yfiA,555.169,0.357771261,1551.742860643
tyrA,12.826,0.037466548,342.3320451086
yfjB,16.726,0.025626424,652.6856809986
recN,11.842,0.009632751,1229.3476702554
smpB,14.608,0.079875519,182.884570678
yfjK,0.616,0.010050251,61.2920015629
yfjL,2.996,0.025371287,118.0862445015
gabD,35.302,0.05628453,627.2060901992
b2667,20.164,,
ygaP,76.627,0.03148855,2433.4877280789
nrdH,72.6,0.018367347,3952.6666534911
gshA,24.934,0.133997429,186.0781970675
yqaB,14.264,0.053003534,269.1141311445
csrA,473.979,2.564864865,184.7968703801
